[MS Spectrum]
# of Peaks	695
Raw Spectrum	[8.637],(scan:[3456])
Background	No Background Spectrum
Base Peak	m/z 352.85 (Inten : 246,953)
m/z	Absolute Intensity	Relative Intensity
314.35	1679	0.68
316.35	45	0.02
319.25	98	0.04
320.25	6	0.00
321.30	1761	0.71
322.00	1026	0.42
323.00	746	0.30
323.85	51	0.02
324.65	1849	0.75
325.05	1917	0.78
325.90	3175	1.29
326.75	1915	0.78
327.90	2005	0.81
329.95	34	0.01
330.95	11	0.00
333.15	419	0.17
334.05	4	0.00
335.00	995	0.40
335.85	7	0.00
336.80	1406	0.57
337.75	15	0.01
339.05	1980	0.80
339.65	500	0.20
340.25	2947	1.19
340.75	3849	1.56
341.55	20	0.01
342.35	635	0.26
343.35	11	0.00
344.35	21	0.01
346.35	31	0.01
348.35	15	0.01
349.70	2197	0.89
350.05	2717	1.10
350.75	4118	1.67
351.80	1878	0.76
352.85	246953	100.00
353.90	64504	26.12
354.95	79570	32.22
355.85	8754	3.54
356.50	2881	1.17
357.55	19	0.01
358.55	40	0.02
359.55	38	0.02
361.10	449	0.18
362.05	17	0.01
363.10	1645	0.67
364.25	74	0.03
365.25	8	0.00
367.40	128	0.05
368.25	5	0.00
369.05	3323	1.35
370.05	19	0.01
370.95	2078	0.84
371.85	3	0.00
372.75	1940	0.79
374.80	79	0.03
375.85	11	0.00
377.85	21	0.01
378.85	10	0.00
380.60	120	0.05
381.10	2129	0.86
382.15	74	0.03
383.30	416	0.17
384.35	13	0.01
385.35	47	0.02
386.35	53	0.02
387.35	6	0.00
389.35	1	0.00
390.35	3	0.00
391.35	40	0.02
392.35	24	0.01
394.25	609	0.25
395.20	14738	5.97
396.35	5219	2.11
397.85	588	0.24
398.85	2	0.00
401.10	440	0.18
401.85	817	0.33
404.85	26	0.01
405.85	16	0.01
406.90	1798	0.73
407.75	8	0.00
408.65	310	0.13
410.80	2497	1.01
411.85	1290	0.52
413.25	926	0.37
415.25	8	0.00
417.25	13	0.01
419.25	3	0.00
421.15	6563	2.66
422.05	1148	0.46
423.15	9491	3.84
424.15	8616	3.49
425.25	3368	1.36
426.05	1695	0.69
428.10	1732	0.70
428.85	4505	1.82
430.85	9	0.00
431.85	27	0.01
433.25	1262	0.51
435.25	1126	0.46
436.25	13	0.01
437.45	6058	2.45
439.55	10	0.00
440.35	394	0.16
441.10	12248	4.96
442.05	3674	1.49
443.05	8184	3.31
445.25	2916	1.18
446.35	2412	0.98
448.70	5901	2.39
449.55	1	0.00
450.95	7836	3.17
451.95	2964	1.20
452.80	93212	37.74
454.00	24263	9.82
454.85	31743	12.85
455.80	4109	1.66
456.80	2603	1.05
458.75	2	0.00
465.05	725	0.29
