[MS Spectrum]
# of Peaks	662
Raw Spectrum	[7.115],(scan:[2847])
Background	No Background Spectrum
Base Peak	m/z 125.90 (Inten : 73,331)
m/z	Absolute Intensity	Relative Intensity
367.10	278	0.38
368.05	18	0.02
369.10	570	0.78
370.05	18	0.02
371.00	1428	1.95
371.70	366	0.50
373.20	2126	2.90
375.25	351	0.48
376.25	25	0.03
377.15	5774	7.87
378.05	65	0.09
378.85	1762	2.40
379.90	27040	36.87
380.65	5951	8.12
381.10	5530	7.54
382.10	346	0.47
383.10	297	0.41
384.45	131	0.18
385.05	39	0.05
385.35	50	0.07
386.15	6449	8.79
386.90	59069	80.55
388.10	18398	25.09
389.15	2646	3.61
390.15	22	0.03
391.15	1963	2.68
391.70	106	0.14
392.75	23	0.03
393.75	1	0.00
395.10	487	0.66
396.60	453	0.62
397.75	1051	1.43
399.10	54	0.07
400.15	8	0.01
401.15	1321	1.80
402.10	814	1.11
402.75	54	0.07
403.95	19785	26.98
404.75	4225	5.76
406.85	1186	1.62
407.95	873	1.19
409.25	2300	3.14
411.10	1679	2.29
412.05	16	0.02
412.95	667	0.91
414.35	849	1.16
414.95	11970	16.32
415.40	10347	14.11
416.15	3413	4.65
417.40	731	1.00
418.20	668	0.91
419.95	296	0.40
421.00	690	0.94
422.10	1089	1.49
422.65	57	0.08
423.65	5	0.01
424.75	276	0.38
425.75	32	0.04
426.55	25	0.03
427.40	1032	1.41
428.20	574	0.78
429.15	1126	1.54
430.10	737	1.01
431.25	1873	2.55
431.85	4497	6.13
433.15	1609	2.19
433.70	1614	2.20
434.75	59	0.08
436.75	3	0.00
437.75	10	0.01
439.20	899	1.23
440.15	7	0.01
441.10	2229	3.04
442.20	56	0.08
442.60	67	0.09
443.55	14	0.02
444.40	4847	6.61
445.35	2	0.00
447.00	816	1.11
448.85	1	0.00
450.35	333	0.45
451.60	95	0.13
452.10	491	0.67
453.25	2996	4.09
454.30	3243	4.42
455.20	769	1.05
456.15	9	0.01
458.95	2334	3.18
459.60	2149	2.93
