[MS Spectrum]
# of Peaks	771
Raw Spectrum	[7.117],(scan:[2848])
Background	No Background Spectrum
Base Peak	m/z 55.05 (Inten : 30,819)
m/z	Absolute Intensity	Relative Intensity
289.05	21	0.07
290.05	8	0.03
290.85	14	0.05
291.70	74	0.24
292.65	34	0.11
293.65	30	0.10
294.75	143	0.46
295.20	25	0.08
296.40	140	0.45
297.45	33	0.11
298.45	6	0.02
299.50	53	0.17
300.45	38	0.12
302.25	29	0.09
303.75	136	0.44
304.95	104	0.34
305.75	72	0.23
306.40	70	0.23
307.35	12	0.04
308.35	5	0.02
310.20	189	0.61
311.05	3	0.01
313.05	40	0.13
314.05	5	0.02
314.95	4	0.01
315.75	64	0.21
316.75	14	0.05
318.75	1	0.00
320.00	76	0.25
321.95	57	0.18
323.55	88	0.29
324.65	221	0.72
325.15	102	0.33
326.15	15	0.05
327.35	13654	44.30
328.30	102	0.33
328.85	334	1.08
329.35	103	0.33
330.25	20	0.06
331.05	127	0.41
332.05	51	0.17
333.10	136	0.44
334.05	24	0.08
335.05	28	0.09
336.90	6339	20.57
337.80	891	2.89
338.85	23	0.07
339.85	32	0.10
340.65	9	0.03
341.50	77	0.25
341.95	34	0.11
342.95	33	0.11
343.95	1	0.00
345.95	38	0.12
346.95	1	0.00
347.95	25	0.08
348.85	98	0.32
349.20	52	0.17
350.45	201	0.65
352.45	3	0.01
353.45	4	0.01
354.85	492	1.60
355.95	10	0.03
357.30	27	0.09
357.70	66	0.21
359.30	250	0.81
361.15	38	0.12
361.95	76	0.25
363.95	3	0.01
365.60	100	0.32
366.70	99	0.32
367.65	12	0.04
368.65	23	0.07
369.65	31	0.10
370.65	27	0.09
371.65	18	0.06
372.65	7	0.02
374.65	34	0.11
375.55	109	0.35
376.35	6	0.02
377.20	28	0.09
377.60	29	0.09
378.55	29	0.09
379.55	22	0.07
380.55	26	0.08
381.55	37	0.12
382.95	92	0.30
383.40	159	0.52
384.55	167	0.54
384.95	70	0.23
386.10	111	0.36
388.15	95	0.31
389.15	10	0.03
389.95	5	0.02
390.70	82	0.27
391.85	100	0.32
392.35	75	0.24
393.40	138	0.45
395.15	120	0.39
396.05	18	0.06
398.05	44	0.14
398.85	12	0.04
399.65	38	0.12
400.20	86	0.28
401.70	76	0.25
402.35	100	0.32
402.75	68	0.22
403.75	34	0.11
405.75	16	0.05
407.00	136	0.44
408.00	19388	62.91
408.95	27	0.09
409.95	42	0.14
410.95	10	0.03
411.95	11	0.04
413.20	45	0.15
414.25	40	0.13
415.25	2	0.01
416.50	47	0.15
417.45	57	0.18
418.45	26	0.08
419.45	28	0.09
421.15	2008	6.52
422.15	56	0.18
423.05	2	0.01
424.00	275	0.89
425.15	210	0.68
426.15	12	0.04
427.00	58	0.19
427.95	3	0.01
429.10	68	0.22
430.05	13	0.04
431.00	4111	13.34
431.95	9	0.03
432.75	75	0.24
433.20	122	0.40
434.30	56	0.18
435.05	15	0.05
435.85	85	0.28
436.75	16	0.05
437.55	68	0.22
437.95	43	0.14
438.55	55	0.18
439.05	84	0.27
440.05	60	0.19
441.25	147	0.48
442.25	9	0.03
443.25	68	0.22
444.15	12	0.04
445.00	3137	10.18
447.35	144	0.47
449.35	31	0.10
451.00	39	0.13
452.05	1	0.00
454.05	127	0.41
455.95	17	0.06
456.80	48	0.16
457.75	10	0.03
458.75	5	0.02
459.75	27	0.09
460.75	13	0.04
461.75	13	0.04
464.75	40	0.13
465.70	173	0.56
466.75	62	0.20
467.75	74	0.24
468.75	14	0.05
469.75	10	0.03
470.65	29	0.09
471.65	325	1.05
473.55	41	0.13
474.55	99	0.32
475.55	20	0.06
476.55	59	0.19
477.55	13	0.04
478.55	13	0.04
479.55	53	0.17
480.55	3	0.01
481.55	16	0.05
482.55	50	0.16
483.55	111	0.36
484.05	96	0.31
485.05	16	0.05
486.05	9	0.03
487.05	36	0.12
488.25	170	0.55
489.30	164	0.53
490.35	22	0.07
491.35	100	0.32
492.35	55	0.18
494.35	60	0.19
495.35	9	0.03
496.35	23	0.07
497.35	57	0.18
499.30	225	0.73
500.25	93	0.30
501.45	80	0.26
501.85	93	0.30
502.85	44	0.14
503.75	5	0.02
504.55	120	0.39
504.95	123	0.40
506.15	94	0.31
506.55	116	0.38
507.70	178	0.58
508.65	3	0.01
510.65	99	0.32
511.90	94	0.31
512.85	53	0.17
514.00	59	0.19
514.40	99	0.32
515.45	77	0.25
516.45	29	0.09
517.45	13	0.04
518.45	62	0.20
520.45	40	0.13
521.45	37	0.12
522.95	165	0.54
523.30	70	0.23
525.50	178	0.58
527.45	46	0.15
528.45	10	0.03
529.45	16	0.05
531.45	1	0.00
532.35	169	0.55
533.35	164	0.53
534.35	58	0.19
535.55	92	0.30
536.55	16	0.05
537.35	15	0.05
538.20	108	0.35
539.15	55	0.18
540.40	154	0.50
542.50	274	0.89
543.90	67	0.22
544.85	5	0.02
545.85	78	0.25
546.85	37	0.12
548.60	53	0.17
549.65	17	0.06
550.45	9	0.03
551.20	71	0.23
552.05	3	0.01
552.80	58	0.19
553.30	42	0.14
554.55	149	0.48
555.50	28	0.09
555.90	30	0.10
556.75	15	0.05
557.60	114	0.37
558.00	36	0.12
559.15	101	0.33
560.15	13	0.04
561.20	134	0.43
562.25	23	0.07
563.30	62	0.20
564.25	34	0.11
565.25	5	0.02
566.25	3	0.01
567.15	16	0.05
568.15	145	0.47
569.05	33	0.11
570.05	7	0.02
571.05	9	0.03
571.85	15	0.05
572.70	80	0.26
573.65	32	0.10
574.65	10	0.03
575.65	1	0.00
576.55	57	0.18
576.95	61	0.20
577.40	81	0.26
578.05	65	0.21
579.15	8	0.03
580.00	48	0.16
581.25	71	0.23
583.15	1	0.00
584.30	86	0.28
585.65	362	1.17
590.50	94	0.31
591.55	32	0.10
592.55	10	0.03
593.55	41	0.13
594.55	33	0.11
597.35	128	0.42
597.90	55	0.18
598.95	2	0.01
599.75	10	0.03
600.55	84	0.27
601.55	10	0.03
603.55	28	0.09
604.80	69	0.22
605.75	42	0.14
606.75	9	0.03
607.75	27	0.09
608.75	13	0.04
