[MS Spectrum]
# of Peaks	704
Raw Spectrum	[7.567],(scan:[3028])
Background	No Background Spectrum
Base Peak	m/z 54.50 (Inten : 63,815)
m/z	Absolute Intensity	Relative Intensity
51.65	178	0.28
52.65	3886	6.09
53.65	6188	9.70
54.50	63815	100.00
56.95	13184	20.66
58.20	16149	25.31
59.55	7445	11.67
60.60	6608	10.35
61.65	5531	8.67
62.15	2080	3.26
63.00	9156	14.35
64.55	8081	12.66
65.25	2248	3.52
66.15	9075	14.22
67.05	2360	3.70
67.85	2305	3.61
68.65	10038	15.73
69.45	2077	3.25
70.35	7946	12.45
71.05	1796	2.81
71.95	6941	10.88
73.50	6076	9.52
74.15	1521	2.38
74.95	5512	8.64
75.75	1256	1.97
76.55	6275	9.83
78.20	5206	8.16
78.85	1333	2.09
79.45	3266	5.12
80.65	1223	1.92
81.65	4935	7.73
83.30	1949	3.05
84.05	907	1.42
84.85	1580	2.48
86.45	2119	3.32
87.25	880	1.38
88.20	2660	4.17
89.10	1296	2.03
90.20	2962	4.64
91.25	1744	2.73
91.95	655	1.03
93.00	2432	3.81
93.65	703	1.10
94.60	2097	3.29
96.00	2885	4.52
97.25	1194	1.87
98.40	2492	3.91
99.50	996	1.56
100.35	1399	2.19
101.85	2159	3.38
103.15	1637	2.57
104.00	687	1.08
105.00	1702	2.67
106.00	841	1.32
106.80	1073	1.68
107.80	1216	1.91
109.20	780	1.22
110.65	1108	1.74
111.55	350	0.55
112.50	1677	2.63
113.85	1042	1.63
115.45	1257	1.97
116.75	578	0.91
117.55	922	1.44
118.20	499	0.78
119.10	717	1.12
120.05	762	1.19
121.30	1282	2.01
122.15	134	0.21
122.90	717	1.12
123.85	226	0.35
124.65	563	0.88
125.55	621	0.97
126.20	646	1.01
127.40	795	1.25
128.25	305	0.48
128.90	456	0.71
129.50	257	0.40
130.20	266	0.42
131.15	456	0.71
132.00	728	1.14
132.75	151	0.24
133.65	421	0.66
134.45	399	0.63
135.45	282	0.44
136.25	242	0.38
137.00	10927	17.12
138.20	11618	18.21
139.55	345	0.54
140.10	266	0.42
140.80	264	0.41
141.50	1689	2.65
142.15	438	0.69
143.10	224	0.35
144.20	283	0.44
144.80	216	0.34
145.35	351	0.55
145.85	237	0.37
147.05	883	1.38
147.80	92	0.14
148.35	167	0.26
149.05	84	0.13
149.45	62	0.10
150.00	288	0.45
150.55	75	0.12
151.55	492	0.77
152.70	291	0.46
153.35	405	0.63
154.25	284	0.45
154.60	134	0.21
155.40	490	0.77
156.30	67	0.10
156.80	156	0.24
157.45	270	0.42
157.80	167	0.26
158.80	317	0.50
159.40	62	0.10
160.30	361	0.57
160.90	46	0.07
161.50	171	0.27
162.50	257	0.40
163.35	371	0.58
164.15	44	0.07
164.65	147	0.23
165.25	50	0.08
165.75	136	0.21
166.25	199	0.31
166.80	148	0.23
167.75	254	0.40
169.15	377	0.59
169.85	45	0.07
170.35	105	0.16
171.35	23	0.04
172.40	216	0.34
172.95	215	0.34
173.55	213	0.33
174.00	107	0.17
175.00	96	0.15
175.70	187	0.29
176.15	65	0.10
176.70	208	0.33
177.15	78	0.12
177.75	151	0.24
178.20	55	0.09
178.75	160	0.25
179.30	107	0.17
179.80	115	0.18
180.35	95	0.15
181.45	112	0.18
181.85	149	0.23
182.50	149	0.23
182.90	224	0.35
183.35	148	0.23
184.05	136	0.21
184.45	97	0.15
185.15	60	0.09
185.60	72	0.11
186.10	157	0.25
186.65	252	0.39
187.10	88	0.14
187.85	38	0.06
188.65	260	0.41
189.20	121	0.19
190.25	129	0.20
190.70	231	0.36
191.80	243	0.38
192.25	96	0.15
193.40	199	0.31
193.85	120	0.19
194.50	78	0.12
194.90	115	0.18
195.45	164	0.26
195.95	111	0.17
196.50	84	0.13
197.10	156	0.24
198.00	159	0.25
199.55	170	0.27
200.15	63	0.10
200.65	171	0.27
201.20	81	0.13
202.35	103	0.16
203.40	121	0.19
203.80	46	0.07
204.55	7	0.01
205.40	119	0.19
205.90	92	0.14
207.05	74	0.12
208.45	307	0.48
209.60	110	0.17
210.35	29	0.05
211.20	159	0.25
211.95	58	0.09
212.70	315	0.49
213.80	110	0.17
214.25	80	0.13
214.80	125	0.20
215.45	122	0.19
216.10	483	0.76
217.30	90	0.14
217.95	132	0.21
218.45	55	0.09
219.10	340	0.53
220.50	99	0.16
221.65	90	0.14
222.35	244	0.38
223.60	131	0.21
224.80	111	0.17
225.40	70	0.11
226.25	86	0.13
227.25	21	0.03
228.15	345	0.54
229.15	143	0.22
231.05	121	0.19
232.25	172	0.27
233.80	186	0.29
234.55	357	0.56
235.75	83	0.13
236.80	118	0.18
238.35	155	0.24
240.40	63	0.10
241.55	72	0.11
242.35	4	0.01
243.10	144	0.23
244.15	125	0.20
244.55	99	0.16
246.05	132	0.21
246.85	6	0.01
247.55	128	0.20
248.70	66	0.10
249.75	440	0.69
250.30	68	0.11
251.45	52	0.08
251.90	52	0.08
252.30	157	0.25
253.05	99	0.16
253.75	3432	5.38
254.65	28	0.04
255.45	85	0.13
256.45	99	0.16
257.15	302	0.47
258.25	38	0.06
259.15	92	0.14
260.80	63	0.10
261.90	45	0.07
262.30	133	0.21
264.15	6	0.01
264.95	180	0.28
266.55	15	0.02
267.20	55	0.09
268.35	131	0.21
268.80	131	0.21
270.05	64	0.10
271.05	2	0.00
272.05	26	0.04
273.05	6	0.01
274.05	7	0.01
274.95	12	0.02
275.80	66	0.10
276.75	2	0.00
278.75	8	0.01
280.25	214	0.34
281.05	2	0.00
281.80	54	0.08
284.65	47	0.07
285.15	120	0.19
286.10	52	0.08
286.70	70	0.11
287.65	44	0.07
289.35	44	0.07
290.80	75	0.12
292.65	175	0.27
293.60	63	0.10
294.65	41	0.06
296.80	86	0.13
297.20	172	0.27
298.25	105	0.16
298.70	61	0.10
300.00	89	0.14
300.30	72	0.11
301.35	70	0.11
302.35	18	0.03
304.05	25	0.04
304.55	134	0.21
305.05	94	0.15
305.85	131	0.21
307.20	60	0.09
307.65	88	0.14
309.30	111	0.17
309.80	48	0.08
310.30	150	0.24
311.25	49	0.08
312.25	17	0.03
314.15	6	0.01
314.90	57	0.09
315.95	22	0.03
316.95	26	0.04
317.95	21	0.03
319.25	101	0.16
320.25	15	0.02
321.25	11	0.02
322.25	39	0.06
323.25	20	0.03
324.15	52	0.08
325.00	70	0.11
325.45	82	0.13
326.45	17	0.03
327.65	70	0.11
328.00	45	0.07
329.05	9	0.01
331.35	55	0.09
331.75	47	0.07
332.25	57	0.09
335.05	17	0.03
335.75	238	0.37
336.65	5233	8.20
337.55	40	0.06
339.05	100	0.16
339.90	636	1.00
340.75	21	0.03
341.70	87	0.14
342.10	85	0.13
343.15	71	0.11
344.15	18	0.03
345.20	56	0.09
346.25	57	0.09
347.80	17	0.03
349.00	166	0.26
350.35	95	0.15
351.00	87	0.14
352.15	47	0.07
352.60	102	0.16
355.80	156	0.24
356.25	105	0.16
357.25	19	0.03
358.60	11089	17.38
359.30	140	0.22
360.35	25	0.04
361.35	2	0.00
362.35	22	0.03
363.25	12	0.02
364.15	115	0.18
364.50	53	0.08
365.55	53	0.08
366.45	8	0.01
367.25	117	0.18
367.65	127	0.20
368.80	78	0.12
370.90	48	0.08
371.30	51	0.08
372.35	2	0.00
373.35	25	0.04
375.05	86	0.13
376.40	40716	63.80
377.90	4560	7.15
379.85	16	0.03
380.80	79	0.12
381.50	1678	2.63
382.45	9	0.01
383.45	24	0.04
385.45	60	0.09
386.45	17	0.03
387.35	14	0.02
388.15	55	0.09
388.55	71	0.11
390.55	7	0.01
391.55	23	0.04
392.55	8	0.01
393.55	2	0.00
394.55	22	0.03
395.90	93	0.15
396.30	33	0.05
397.35	3	0.00
399.35	379	0.59
400.35	21	0.03
401.35	7	0.01
403.25	65	0.10
403.50	91	0.14
404.65	94	0.15
405.80	91	0.14
406.20	136	0.21
407.15	58	0.09
407.90	121	0.19
408.95	19	0.03
411.30	246	0.39
412.25	6	0.01
413.00	90	0.14
415.20	204	0.32
416.90	96	0.15
417.35	193	0.30
418.45	1	0.00
419.35	11	0.02
420.15	46	0.07
421.15	105	0.16
422.15	47	0.07
423.15	40	0.06
424.30	158	0.25
425.90	113	0.18
426.35	64	0.10
427.35	120	0.19
429.35	5	0.01
430.35	14	0.02
431.25	10	0.02
432.10	150	0.24
435.20	134	0.21
435.65	85	0.13
437.15	1132	1.77
438.15	1	0.00
439.30	102	0.16
440.15	3	0.00
440.95	132	0.21
441.95	16	0.03
442.95	15	0.02
443.95	12	0.02
446.15	36	0.06
446.65	52	0.08
448.65	60	0.09
449.65	39	0.06
451.65	19	0.03
452.65	22	0.03
453.65	27	0.04
454.65	227	0.36
455.55	30	0.05
456.55	72	0.11
457.55	30	0.05
458.70	109	0.17
459.75	95	0.15
461.75	38	0.06
462.80	38	0.06
463.75	2	0.00
464.55	108	0.17
464.95	67	0.10
466.45	240	0.38
467.65	137	0.21
469.10	505	0.79
470.80	248	0.39
471.75	13	0.02
472.75	2	0.00
473.75	73	0.11
475.45	121	0.19
476.45	296	0.46
476.85	121	0.19
478.75	13	0.02
479.60	57	0.09
481.55	38	0.06
482.55	87	0.14
483.45	8	0.01
484.30	209	0.33
486.25	45	0.07
487.25	51	0.08
488.25	13	0.02
489.25	29	0.05
490.55	134	0.21
491.55	21	0.03
492.95	8404	13.17
494.70	104	0.16
496.65	26	0.04
497.65	18	0.03
498.65	14	0.02
499.65	72	0.11
500.65	15	0.02
501.65	1	0.00
502.65	41	0.06
503.65	18	0.03
504.65	21	0.03
505.65	85	0.13
506.65	4	0.01
507.70	147	0.23
508.75	53	0.08
509.75	81	0.13
511.75	11	0.02
512.90	68	0.11
513.45	219	0.34
514.45	51	0.08
516.05	108	0.17
516.55	80	0.13
517.55	54	0.08
518.75	188	0.29
520.75	50	0.08
521.75	77	0.12
523.20	120	0.19
524.25	15	0.02
525.45	118	0.18
526.45	52	0.08
527.45	28	0.04
528.45	8	0.01
529.45	3	0.00
530.45	13	0.02
532.85	45	0.07
533.30	55	0.09
533.75	73	0.11
535.75	30	0.05
536.75	10	0.02
538.75	21	0.03
541.60	120	0.19
543.65	6	0.01
544.65	31	0.05
545.85	55	0.09
546.85	6	0.01
547.85	3	0.00
548.85	15	0.02
549.85	46	0.07
550.85	6	0.01
551.85	1	0.00
552.85	7	0.01
553.75	95	0.15
554.70	91	0.14
555.65	58	0.09
556.70	166	0.26
557.75	47	0.07
559.05	151	0.24
562.05	148	0.23
563.80	43	0.07
564.10	52	0.08
565.15	47	0.07
566.85	61	0.10
567.85	10	0.02
568.85	2	0.00
570.25	46	0.07
572.25	7	0.01
574.00	73	0.11
574.50	56	0.09
575.75	153	0.24
576.15	99	0.16
577.15	17	0.03
578.10	73	0.11
580.50	3250	5.09
581.65	49	0.08
583.65	23	0.04
584.70	166	0.26
586.00	154	0.24
588.05	52	0.08
592.05	10	0.02
592.95	30	0.05
593.80	61	0.10
594.75	28	0.04
596.75	42	0.07
597.75	2	0.00
599.65	93	0.15
600.00	174	0.27
603.05	17	0.03
604.05	50	0.08
606.05	8	0.01
607.30	56	0.09
608.15	28	0.04
608.95	78	0.12
609.95	65	0.10
610.95	38	0.06
612.95	30	0.05
613.95	29	0.05
615.20	165	0.26
616.15	11	0.02
617.15	2	0.00
618.15	36	0.06
619.40	112	0.18
620.25	19	0.03
621.10	103	0.16
622.05	25	0.04
624.05	152	0.24
625.05	11	0.02
627.05	14	0.02
628.25	168	0.26
629.25	10	0.02
630.25	44	0.07
631.45	103	0.16
632.45	30	0.05
634.45	3	0.00
635.45	32	0.05
637.45	23	0.04
639.30	112	0.18
639.85	114	0.18
641.85	130	0.20
642.85	41	0.06
643.85	12	0.02
644.90	130	0.20
646.95	2	0.00
649.25	73	0.11
649.65	90	0.14
650.65	17	0.03
651.65	25	0.04
653.45	80	0.13
654.30	81	0.13
655.35	177	0.28
658.40	548	0.86
659.45	7	0.01
660.45	10	0.02
661.75	88	0.14
663.25	52	0.08
664.05	22	0.03
664.90	194	0.30
665.95	167	0.26
666.95	14	0.02
667.95	34	0.05
669.60	9849	15.43
670.15	3377	5.29
671.15	3	0.00
672.10	58	0.09
673.50	11241	17.61
675.00	49509	77.58
675.95	24	0.04
676.95	5	0.01
677.95	1	0.00
679.50	45	0.07
679.85	31	0.05
681.85	10	0.02
682.85	3	0.00
683.85	11	0.02
684.85	20	0.03
685.85	19	0.03
686.80	37	0.06
688.00	921	1.44
688.65	198	0.31
689.65	18	0.03
691.40	78	0.12
693.25	11	0.02
694.10	57	0.09
694.45	159	0.25
695.45	31	0.05
697.25	111	0.17
699.25	52	0.08
700.25	30	0.05
701.35	80	0.13
701.90	96	0.15
702.30	97	0.15
703.85	180	0.28
704.95	56	0.09
705.95	27	0.04
706.85	3	0.00
707.65	51	0.08
708.10	53	0.08
708.45	101	0.16
709.30	92	0.14
711.25	44	0.07
712.25	33	0.05
713.15	136	0.21
714.05	8	0.01
714.95	81	0.13
715.95	14	0.02
716.95	110	0.17
719.70	107	0.17
720.55	8	0.01
721.45	74	0.12
724.65	161	0.25
726.00	141	0.22
726.75	14	0.02
727.55	133	0.21
