[MS Spectrum]
# of Peaks	513
Raw Spectrum	[7.615],(scan:[3047])
Background	No Background Spectrum
Base Peak	m/z 400.75 (Inten : 58,677)
m/z	Absolute Intensity	Relative Intensity
473.95	22	0.04
475.25	526	0.90
479.05	13	0.02
479.90	22	0.04
481.85	1	0.00
483.15	461	0.79
484.90	58	0.10
486.00	1943	3.31
487.25	233	0.40
488.25	1	0.00
490.25	40	0.07
491.25	28	0.05
493.25	38	0.06
495.15	112	0.19
497.80	96	0.16
498.65	1	0.00
499.45	62	0.11
499.85	73	0.12
501.40	440	0.75
504.00	287	0.49
506.30	2233	3.81
507.25	232	0.40
510.25	4	0.01
511.55	110	0.19
516.55	2	0.00
517.45	77	0.13
517.95	415	0.71
518.95	9	0.02
520.10	91	0.16
520.55	82	0.14
521.75	104	0.18
522.10	68	0.12
523.15	29	0.05
524.15	76	0.13
529.35	1252	2.13
531.40	14	0.02
531.70	11	0.02
532.60	2597	4.43
533.70	166	0.28
535.10	167	0.28
536.50	487	0.83
538.25	4	0.01
539.10	450	0.77
539.90	282	0.48
540.95	10	0.02
541.95	13	0.02
543.25	138	0.24
544.25	28	0.05
545.45	1350	2.30
546.15	430	0.73
546.50	360	0.61
547.70	990	1.69
549.05	79	0.13
550.05	28	0.05
552.05	3	0.01
555.30	61	0.10
555.95	154	0.26
556.95	13	0.02
559.20	172	0.29
561.15	34	0.06
563.40	1065	1.82
564.35	2	0.00
567.05	696	1.19
568.95	64	0.11
569.95	137	0.23
570.85	2	0.00
572.85	44	0.07
574.40	1571	2.68
575.45	19	0.03
576.35	10	0.02
577.20	1611	2.75
578.25	3	0.01
579.65	1402	2.39
580.65	165	0.28
581.15	82	0.14
583.15	3	0.01
584.25	983	1.68
584.90	87	0.15
586.35	587	1.00
587.70	76	0.13
588.55	290	0.49
590.55	5	0.01
591.55	12	0.02
592.55	4	0.01
593.90	90	0.15
594.75	18	0.03
595.55	224	0.38
596.35	1	0.00
597.15	455	0.78
598.25	271	0.46
601.25	72	0.12
607.55	542	0.92
608.50	1055	1.80
609.55	7	0.01
612.55	23	0.04
613.85	100	0.17
614.85	57	0.10
616.85	8	0.01
617.75	257	0.44
