[MS Spectrum]
# of Peaks	648
Raw Spectrum	[7.565],(scan:[3027])
Background	No Background Spectrum
Base Peak	m/z 217.90 (Inten : 64,656)
m/z	Absolute Intensity	Relative Intensity
54.65	4	0.01
60.50	83	0.13
62.00	153	0.24
63.05	14	0.02
64.05	2	0.00
65.60	90	0.14
66.65	1	0.00
67.85	91	0.14
68.20	57	0.09
71.25	160	0.25
72.35	5	0.01
73.80	55	0.09
74.75	7	0.01
75.65	103	0.16
76.75	44	0.07
78.45	15	0.02
79.25	52	0.08
80.25	9	0.01
81.45	129	0.20
82.35	2020	3.12
83.00	23537	36.40
83.80	2189	3.39
84.85	756	1.17
85.35	1236	1.91
87.35	19	0.03
88.35	9	0.01
89.35	24	0.04
90.35	18	0.03
93.35	9	0.01
94.40	68	0.11
95.90	19564	30.26
96.75	5198	8.04
97.30	2085	3.22
98.35	18	0.03
99.75	1203	1.86
100.90	508	0.79
102.60	112	0.17
103.75	138	0.21
105.35	169	0.26
107.05	52	0.08
107.85	27	0.04
108.65	287	0.44
110.05	207	0.32
110.45	176	0.27
112.00	816	1.26
112.80	477	0.74
114.20	287	0.44
115.25	352	0.54
115.85	249	0.39
117.85	102	0.16
118.55	3204	4.96
119.85	92	0.14
120.35	684	1.06
120.85	1038	1.61
121.85	19	0.03
122.85	19	0.03
124.85	73	0.11
125.90	12856	19.88
126.85	99	0.15
127.80	1180	1.83
128.65	10	0.02
129.45	201	0.31
130.25	6	0.01
130.95	27	0.04
133.85	211	0.33
135.85	1	0.00
137.00	52	0.08
139.55	946	1.46
140.20	94	0.15
141.70	131	0.20
144.35	174	0.27
147.25	1	0.00
148.10	436	0.67
152.05	15	0.02
152.95	1092	1.69
154.95	40	0.06
156.45	147	0.23
157.25	3	0.00
158.10	138	0.21
159.65	182	0.28
160.15	583	0.90
160.80	150	0.23
161.15	226	0.35
162.05	54	0.08
162.85	322	0.50
163.85	8	0.01
165.15	734	1.14
166.40	336	0.52
167.00	145	0.22
168.65	81	0.13
169.55	53	0.08
170.55	18	0.03
171.55	1608	2.49
172.30	967	1.50
172.80	112	0.17
173.85	88	0.14
174.85	24	0.04
175.85	107	0.17
176.85	12	0.02
177.85	5	0.01
178.85	13	0.02
179.85	6	0.01
180.85	12	0.02
181.85	16	0.02
184.95	2189	3.39
185.95	7	0.01
187.95	57	0.09
188.75	33	0.05
189.60	92	0.14
191.05	117	0.18
191.95	47	0.07
192.80	3177	4.91
193.85	41	0.06
194.80	89	0.14
195.75	3	0.00
196.55	28	0.04
197.40	43	0.07
198.30	1036	1.60
199.55	1176	1.82
201.55	64	0.10
204.80	345	0.53
205.15	351	0.54
206.15	3527	5.46
206.65	402	0.62
207.25	461	0.71
207.75	193	0.30
208.35	222	0.34
208.80	368	0.57
209.85	43	0.07
210.85	54	0.08
211.85	17	0.03
212.75	44	0.07
213.55	4837	7.48
215.10	620	0.96
216.10	269	0.42
216.95	14	0.02
217.90	64656	100.00
219.25	1062	1.64
220.25	45	0.07
221.40	90	0.14
222.25	42	0.06
223.10	643	0.99
224.55	493	0.76
225.60	1055	1.63
226.65	147	0.23
227.45	392	0.61
227.95	902	1.40
228.70	146	0.23
229.75	222	0.34
231.75	27	0.04
233.40	2026	3.13
234.35	13	0.02
235.35	10	0.02
236.35	16	0.02
237.35	27	0.04
238.80	1716	2.65
239.90	422	0.65
240.85	49	0.08
241.75	225	0.35
243.20	2146	3.32
244.15	2	0.00
245.50	135	0.21
245.95	95	0.15
246.55	151	0.23
247.00	40	0.06
248.10	218	0.34
249.25	359	0.56
250.10	506	0.78
250.65	50	0.08
251.65	29	0.04
252.65	48	0.07
254.20	512	0.79
255.00	8247	12.76
255.85	401	0.62
256.85	2004	3.10
258.00	2612	4.04
259.00	2021	3.13
261.20	60	0.09
261.55	74	0.11
263.20	5982	9.25
264.15	44	0.07
265.05	12863	19.89
266.30	940	1.45
267.35	88	0.14
268.35	85	0.13
269.35	29	0.04
270.35	17	0.03
272.25	17	0.03
273.20	139	0.21
273.60	82	0.13
274.55	139	0.21
275.25	115	0.18
276.70	56	0.09
277.75	81	0.13
278.85	1592	2.46
280.40	2761	4.27
280.85	3503	5.42
281.85	4128	6.38
282.50	275	0.43
283.55	47	0.07
286.35	7	0.01
287.15	137	0.21
288.30	108	0.17
289.25	81	0.13
290.25	34	0.05
291.25	44	0.07
293.25	2	0.00
294.15	15	0.02
295.05	2407	3.72
296.05	1471	2.28
297.15	5442	8.42
298.10	2421	3.74
298.75	731	1.13
299.25	1197	1.85
300.25	155	0.24
301.25	46	0.07
302.25	28	0.04
303.15	17	0.03
304.05	588	0.91
304.75	40	0.06
305.60	597	0.92
306.05	46	0.07
308.05	83	0.13
309.05	15	0.02
310.00	762	1.18
310.95	15	0.02
312.50	5132	7.94
313.25	72	0.11
314.05	5347	8.27
315.20	1308	2.02
316.55	338	0.52
317.70	885	1.37
318.65	22	0.03
320.65	34	0.05
321.65	59	0.09
322.90	5056	7.82
323.40	3699	5.72
324.25	254	0.39
324.80	150	0.23
325.45	2544	3.93
326.30	15673	24.24
327.00	3983	6.16
327.95	73	0.11
328.95	35	0.05
329.75	12	0.02
330.50	227	0.35
331.70	1779	2.75
332.45	449	0.69
333.45	1	0.00
335.25	128	0.20
336.25	1814	2.81
337.15	1804	2.79
337.70	5370	8.31
339.10	8795	13.60
340.30	639	0.99
341.30	879	1.36
341.75	208	0.32
343.20	71	0.11
345.75	3985	6.16
346.45	222	0.34
346.85	45	0.07
347.30	20	0.03
348.25	143	0.22
349.25	21	0.03
350.05	22	0.03
352.20	3776	5.84
352.90	31	0.05
354.20	231	0.36
354.80	517	0.80
356.90	877	1.36
357.30	472	0.73
358.20	120	0.19
358.95	211	0.33
