[MS Spectrum]
# of Peaks	683
Raw Spectrum	[9.295],(scan:[3719])
Background	No Background Spectrum
Base Peak	m/z 760.40 (Inten : 31,625)
m/z	Absolute Intensity	Relative Intensity
440.10	457	1.45
441.10	1042	3.29
442.05	64	0.20
443.05	105	0.33
444.05	9	0.03
445.05	100	0.32
445.95	40	0.13
446.75	931	2.94
447.75	355	1.12
448.55	61	0.19
449.40	141	0.45
450.35	58	0.18
452.00	511	1.62
452.50	1012	3.20
453.45	248	0.78
454.25	712	2.25
455.70	82	0.26
456.95	776	2.45
457.75	357	1.13
458.75	22	0.07
459.85	104	0.33
461.35	423	1.34
462.35	30	0.09
463.25	4	0.01
464.10	413	1.31
465.15	1225	3.87
466.15	45	0.14
466.95	4	0.01
467.70	547	1.73
468.40	1250	3.95
469.00	960	3.04
470.05	30	0.09
471.00	98	0.31
471.45	50	0.16
471.90	268	0.85
473.20	1960	6.20
474.15	87	0.28
474.60	93	0.29
475.25	323	1.02
476.45	543	1.72
477.45	20	0.06
479.10	283	0.89
480.05	8	0.03
480.90	161	0.51
481.40	1296	4.10
482.25	6	0.02
483.10	584	1.85
483.75	1056	3.34
484.30	833	2.63
485.45	96	0.30
486.15	234	0.74
486.55	220	0.70
489.35	129	0.41
490.50	295	0.93
491.45	23	0.07
492.95	402	1.27
494.20	509	1.61
495.40	1081	3.42
496.15	54	0.17
497.05	867	2.74
498.00	912	2.88
499.05	5	0.02
500.25	828	2.62
500.85	84	0.27
502.15	617	1.95
502.95	358	1.13
504.45	86	0.27
505.40	1368	4.33
506.30	2115	6.69
507.40	1589	5.02
508.35	19	0.06
509.40	180	0.57
510.40	1065	3.37
511.25	72	0.23
512.15	4018	12.71
513.40	1620	5.12
514.90	369	1.17
516.85	7	0.02
517.85	19	0.06
518.85	2	0.01
519.85	27	0.09
521.25	274	0.87
522.25	271	0.86
523.05	5	0.02
523.90	199	0.63
524.35	236	0.75
524.85	177	0.56
525.50	148	0.47
526.55	80	0.25
527.50	309	0.98
528.35	4	0.01
529.10	1114	3.52
529.70	37	0.12
531.00	164	0.52
532.10	3021	9.55
532.60	2263	7.16
533.75	137	0.43
534.75	41	0.13
535.75	33	0.10
536.75	5	0.02
537.75	7	0.02
538.80	255	0.81
540.30	617	1.95
540.70	240	0.76
541.45	5	0.02
542.25	91	0.29
542.75	608	1.92
543.25	69	0.22
545.10	260	0.82
546.45	444	1.40
547.60	1902	6.01
548.15	978	3.09
549.35	4319	13.66
550.05	451	1.43
550.65	878	2.78
551.15	694	2.19
551.85	598	1.89
552.35	84	0.27
552.90	231	0.73
553.30	57	0.18
554.70	585	1.85
556.00	1084	3.43
557.20	2700	8.54
558.15	2	0.01
559.15	66	0.21
560.15	27	0.09
561.15	67	0.21
562.50	300	0.95
562.85	94	0.30
565.30	633	2.00
566.35	8	0.03
567.55	95	0.30
568.55	1	0.00
569.35	33	0.10
570.15	104	0.33
571.15	9	0.03
572.35	60	0.19
573.35	3	0.01
574.15	4	0.01
575.00	81	0.26
575.50	664	2.10
576.25	2632	8.32
577.00	934	2.95
577.85	816	2.58
578.75	25	0.08
579.70	517	1.63
580.80	369	1.17
581.20	148	0.47
581.75	35	0.11
582.40	1137	3.60
583.35	37	0.12
584.20	1109	3.51
588.30	1243	3.93
589.15	507	1.60
589.95	571	1.81
591.05	536	1.69
592.05	1	0.00
593.05	21	0.07
595.05	18	0.06
596.20	1210	3.83
597.60	1866	5.90
598.20	418	1.32
599.10	182	0.58
599.85	907	2.87
600.25	749	2.37
601.10	424	1.34
601.75	350	1.11
602.75	85	0.27
604.90	903	2.86
607.35	603	1.91
608.00	247	0.78
609.20	95	0.30
609.70	188	0.59
610.45	5	0.02
611.25	121	0.38
612.80	141	0.45
613.25	355	1.12
614.05	327	1.03
614.60	251	0.79
615.45	380	1.20
616.45	143	0.45
617.05	152	0.48
618.75	234	0.74
619.65	110	0.35
620.45	16	0.05
621.20	194	0.61
621.75	301	0.95
623.55	8	0.03
624.45	70	0.22
624.70	80	0.25
625.75	27	0.09
626.55	9	0.03
627.40	177	0.56
628.15	915	2.89
629.35	303	0.96
630.30	85	0.27
630.60	76	0.24
631.65	55	0.17
633.45	52	0.16
634.25	545	1.72
635.05	27	0.09
635.80	130	0.41
