[MS Spectrum]
# of Peaks	826
Raw Spectrum	[9.297],(scan:[3720])
Background	No Background Spectrum
Base Peak	m/z 52.05 (Inten : 39,096)
m/z	Absolute Intensity	Relative Intensity
278.30	50	0.13
278.85	48	0.12
279.85	71	0.18
281.00	56	0.14
281.45	164	0.42
281.85	79	0.20
282.45	55	0.14
283.25	6	0.02
284.00	61	0.16
284.85	21	0.05
285.65	46	0.12
286.10	81	0.21
287.05	64	0.16
288.05	27	0.07
288.95	10	0.03
289.80	69	0.18
290.25	103	0.26
291.80	87	0.22
293.15	1848	4.73
294.05	77	0.20
294.95	32	0.08
297.95	25	0.06
299.30	43	0.11
299.70	77	0.20
301.25	105	0.27
302.40	76	0.19
302.85	89	0.23
303.45	58	0.15
303.90	155	0.40
304.45	69	0.18
305.60	92	0.24
306.55	63	0.16
307.55	50	0.13
308.45	50	0.13
309.10	2326	5.95
310.25	62	0.16
311.30	91	0.23
314.25	29	0.07
316.70	6386	16.33
317.65	31	0.08
318.65	32	0.08
319.65	42	0.11
320.10	83	0.21
321.15	33	0.08
322.20	130	0.33
323.25	25	0.06
324.05	20	0.05
324.85	147	0.38
325.40	162	0.41
326.35	118	0.30
327.35	58	0.15
328.35	4	0.01
329.35	24	0.06
330.35	8	0.02
331.35	86	0.22
332.35	41	0.10
333.35	55	0.14
334.90	3216	8.23
335.85	48	0.12
336.85	539	1.38
337.75	44	0.11
338.55	131	0.34
338.95	146	0.37
340.10	165	0.42
340.60	58	0.15
341.65	61	0.16
342.45	65	0.17
343.25	154	0.39
344.25	15	0.04
345.05	16	0.04
345.85	64	0.16
346.35	114	0.29
347.35	52	0.13
348.15	8	0.02
349.00	159	0.41
349.50	56	0.14
351.55	44	0.11
352.55	34	0.09
353.55	5	0.01
354.55	20	0.05
356.40	29	0.07
356.80	132	0.34
358.35	131	0.34
359.00	44	0.11
359.40	116	0.30
360.45	8	0.02
361.35	12	0.03
362.20	72	0.18
362.65	60	0.15
363.75	35	0.09
364.20	106	0.27
365.05	1604	4.10
366.35	104	0.27
366.90	99	0.25
367.75	6	0.02
368.60	41	0.10
370.15	87	0.22
371.65	54	0.14
373.65	13	0.03
374.65	40	0.10
375.85	95	0.24
376.25	87	0.22
377.25	18	0.05
378.20	183	0.47
378.90	87	0.22
380.50	84	0.21
381.55	16	0.04
382.55	15	0.04
383.60	74	0.19
384.45	16	0.04
385.25	127	0.32
386.25	25	0.06
387.05	19	0.05
387.85	128	0.33
388.85	96	0.25
389.85	56	0.14
391.75	5	0.01
392.60	87	0.22
393.55	69	0.18
395.55	36	0.09
396.85	29226	74.75
397.65	11541	29.52
398.80	29071	74.36
399.55	12920	33.05
400.25	276	0.71
401.05	2304	5.89
401.95	1328	3.40
402.95	43	0.11
404.10	80	0.20
405.05	14	0.04
406.05	38	0.10
406.95	680	1.74
407.95	24	0.06
408.95	63	0.16
409.95	8	0.02
410.95	77	0.20
411.95	133	0.34
412.95	5	0.01
413.85	12	0.03
414.80	2798	7.16
416.15	111	0.28
416.70	126	0.32
418.25	51	0.13
419.25	32	0.08
420.25	22	0.06
421.25	49	0.13
422.25	22	0.06
423.10	2071	5.30
424.25	2385	6.10
425.25	21	0.05
427.25	30	0.08
428.25	72	0.18
429.25	102	0.26
430.25	55	0.14
431.30	105	0.27
432.15	20	0.05
432.95	77	0.20
433.75	35	0.09
434.55	80	0.20
435.00	65	0.17
435.85	38	0.10
436.65	46	0.12
437.30	3085	7.89
438.25	56	0.14
439.25	231	0.59
440.30	109	0.28
440.80	95	0.24
441.25	1197	3.06
442.25	23	0.06
443.25	52	0.13
444.50	74	0.19
445.55	60	0.15
446.35	30	0.08
447.10	68	0.17
448.15	28	0.07
449.15	7	0.02
449.95	32	0.08
450.80	72	0.18
451.75	22	0.06
452.75	16	0.04
453.75	27	0.07
454.75	19	0.05
455.65	56	0.14
456.60	125	0.32
457.55	4	0.01
458.55	41	0.10
459.55	3	0.01
460.45	30	0.08
461.40	105	0.27
462.15	2	0.01
463.00	123	0.31
463.95	22	0.06
464.95	14	0.04
465.95	43	0.11
466.95	3	0.01
467.95	9	0.02
468.95	42	0.11
470.95	61	0.16
471.90	80	0.20
472.40	141	0.36
473.50	94	0.24
474.45	44	0.11
475.45	21	0.05
476.60	130	0.33
477.65	54	0.14
478.65	21	0.05
479.65	44	0.11
480.65	14	0.04
481.65	35	0.09
482.55	49	0.13
483.55	156	0.40
483.95	135	0.35
485.10	56	0.14
485.55	54	0.14
486.65	197	0.50
488.65	116	0.30
489.80	122	0.31
490.75	80	0.20
491.75	57	0.15
492.75	29	0.07
494.55	133	0.34
496.90	13930	35.63
497.75	2384	6.10
498.85	15420	39.44
499.95	5555	14.21
500.75	61	0.16
501.75	41	0.10
502.75	2	0.01
503.75	6	0.02
504.75	26	0.07
505.85	573	1.47
506.85	20	0.05
507.75	61	0.16
508.70	110	0.28
509.25	107	0.27
509.75	154	0.39
510.75	24	0.06
511.65	20	0.05
512.45	128	0.33
513.45	10	0.03
514.70	154	0.39
515.65	77	0.20
516.65	21	0.05
517.65	29	0.07
518.65	67	0.17
519.45	25	0.06
520.30	115	0.29
521.25	60	0.15
522.25	25	0.06
523.05	39	0.10
523.90	500	1.28
524.85	17	0.04
526.15	121	0.31
527.05	16	0.04
527.85	17	0.04
528.70	140	0.36
529.30	1796	4.59
530.25	75	0.19
531.25	11	0.03
532.25	87	0.22
533.25	68	0.17
534.15	3	0.01
535.00	110	0.28
535.95	94	0.24
536.95	33	0.08
537.95	31	0.08
538.85	42	0.11
539.75	135	0.35
540.95	4409	11.28
542.40	77	0.20
542.80	92	0.24
543.85	61	0.16
544.65	15	0.04
545.50	116	0.30
546.45	7	0.02
547.45	48	0.12
548.45	44	0.11
549.45	12	0.03
550.45	29	0.07
551.45	52	0.13
552.45	14	0.04
553.45	4	0.01
554.45	78	0.20
555.85	84	0.21
556.40	54	0.14
556.95	602	1.54
557.45	71	0.18
558.55	66	0.17
559.00	24	0.06
559.95	2	0.01
561.05	30	0.08
562.15	67	0.17
563.15	73	0.19
564.70	36	0.09
565.15	56	0.14
566.15	49	0.13
567.15	9	0.02
568.35	104	0.27
569.35	62	0.16
572.45	189	0.48
574.35	1	0.00
575.20	84	0.21
575.60	156	0.40
576.55	6	0.02
578.15	72	0.18
578.65	61	0.16
579.65	29	0.07
581.65	21	0.05
582.95	113	0.29
584.55	120	0.31
584.95	70	0.18
585.95	22	0.06
587.05	94	0.24
588.05	14	0.04
589.05	22	0.06
590.05	14	0.04
592.05	14	0.04
