[MS Spectrum]
# of Peaks	516
Raw Spectrum	[6.390],(scan:[2557])
Background	No Background Spectrum
Base Peak	m/z 125.95 (Inten : 194,796)
m/z	Absolute Intensity	Relative Intensity
457.05	36	0.02
458.30	757	0.39
459.60	291	0.15
460.55	13	0.01
461.65	197	0.10
462.10	448	0.23
465.15	70	0.04
466.15	127	0.07
467.15	6	0.00
468.15	44	0.02
469.40	242	0.12
470.70	45	0.02
471.65	19	0.01
473.65	72	0.04
476.05	263	0.14
477.05	4	0.00
481.00	242	0.12
481.95	13	0.01
484.15	404	0.21
485.15	6	0.00
486.75	202	0.10
487.20	79	0.04
487.75	145	0.07
489.10	1440	0.74
490.05	20	0.01
491.05	14	0.01
493.05	43	0.02
494.15	111	0.06
496.35	632	0.32
497.55	321	0.16
500.45	15	0.01
501.25	1215	0.62
501.70	166	0.09
503.55	53	0.03
504.45	415	0.21
504.95	188	0.10
505.85	9	0.00
506.65	423	0.22
507.15	62	0.03
507.65	31	0.02
508.65	825	0.42
509.65	7	0.00
510.90	259	0.13
511.95	2373	1.22
513.95	15	0.01
520.05	361	0.19
523.05	7	0.00
524.25	32	0.02
527.75	871	0.45
528.70	443	0.23
530.10	1428	0.73
535.05	2	0.00
538.05	35	0.02
539.40	250	0.13
541.00	87	0.04
541.95	10	0.01
545.95	260	0.13
546.95	37	0.02
547.95	18	0.01
548.95	22	0.01
549.95	2	0.00
552.15	409	0.21
553.75	695	0.36
558.60	562	0.29
560.55	46	0.02
562.55	5	0.00
563.55	85	0.04
564.55	9	0.00
566.55	10	0.01
567.55	8	0.00
568.45	97	0.05
569.35	243	0.12
572.35	14	0.01
574.25	203	0.10
575.20	1509	0.77
577.30	48	0.02
578.50	51	0.03
579.55	258	0.13
581.55	2	0.00
585.55	161	0.08
586.00	48	0.02
588.75	851	0.44
591.30	1222	0.63
591.90	82	0.04
592.85	15	0.01
594.85	1	0.00
596.85	37	0.02
598.30	175	0.09
599.25	22	0.01
600.25	5	0.00
602.25	37	0.02
605.25	54	0.03
606.15	7	0.00
606.95	108	0.06
607.75	2	0.00
608.60	819	0.42
614.00	127	0.07
615.95	32	0.02
616.95	14	0.01
618.10	1080	0.55
619.05	12	0.01
621.35	2337	1.20
622.35	1	0.00
624.35	13	0.01
625.35	7	0.00
627.35	21	0.01
628.85	338	0.17
629.60	72	0.04
630.45	23	0.01
631.25	110	0.06
631.60	57	0.03
633.65	24	0.01
637.65	3	0.00
639.10	349	0.18
640.05	9	0.00
641.35	87	0.04
644.35	37	0.02
645.60	158	0.08
646.15	14	0.01
647.15	3	0.00
648.05	7	0.00
648.95	218	0.11
649.95	5	0.00
654.95	14	0.01
659.95	2	0.00
661.95	640	0.33
662.40	1104	0.57
663.35	503	0.26
663.85	80	0.04
664.85	1	0.00
665.85	5	0.00
668.30	95	0.05
668.80	112	0.06
669.75	23	0.01
674.75	8	0.00
675.55	3	0.00
676.30	55	0.03
677.35	401	0.21
678.20	7457	3.83
679.30	789	0.41
680.00	492	0.25
680.45	76	0.04
682.30	387	0.20
682.75	123	0.06
683.65	1	0.00
684.50	595	0.31
686.45	38	0.02
690.45	1	0.00
691.45	13	0.01
692.45	19	0.01
697.45	11	0.01
698.35	6	0.00
699.20	1795	0.92
700.15	186	0.10
701.05	9	0.00
701.85	420	0.22
702.45	296	0.15
703.45	1	0.00
704.40	78	0.04
712.35	7	0.00
713.60	90	0.05
714.55	6	0.00
715.55	11	0.01
716.45	1062	0.55
717.80	788	0.40
719.30	154	0.08
721.25	9	0.00
724.25	21	0.01
725.45	210	0.11
726.85	36	0.02
729.60	56	0.03
730.65	28	0.01
731.65	5	0.00
736.65	31	0.02
738.55	48	0.02
739.45	122	0.06
739.85	37	0.02
740.95	535	0.27
741.40	27	0.01
742.45	9	0.00
744.80	133	0.07
745.75	1399	0.72
746.75	7	0.00
750.75	29	0.01
751.65	217	0.11
754.05	839	0.43
754.40	395	0.20
755.35	3	0.00
756.35	5	0.00
757.35	8	0.00
758.35	32	0.02
760.35	4	0.00
762.85	2269	1.16
763.45	3055	1.57
764.10	53	0.03
767.60	247	0.13
769.00	61	0.03
771.95	6	0.00
773.95	7	0.00
776.00	77	0.04
776.95	11	0.01
777.95	22	0.01
778.95	12	0.01
780.80	185	0.09
783.20	654	0.34
784.25	4	0.00
787.25	7	0.00
790.25	7	0.00
793.25	36	0.02
794.25	62	0.03
796.25	15	0.01
797.25	4	0.00
799.10	80	0.04
Event	1
