[MS Spectrum]
# of Peaks	577
Raw Spectrum	[6.342],(scan:[2538])
Background	No Background Spectrum
Base Peak	m/z 56.25 (Inten : 30,798)
m/z	Absolute Intensity	Relative Intensity
329.75	11031	35.82
331.05	832	2.70
332.05	3488	11.33
333.05	34	0.11
335.05	4	0.01
336.05	16	0.05
337.05	1	0.00
338.05	12	0.04
338.85	15	0.05
339.65	117	0.38
343.00	170	0.55
343.45	93	0.30
344.45	48	0.16
345.45	10	0.03
346.35	12	0.04
347.20	139	0.45
349.25	1121	3.64
350.25	6	0.02
351.60	99	0.32
352.55	1	0.00
354.55	17	0.06
355.65	156	0.51
356.65	4	0.01
357.65	80	0.26
361.65	1	0.00
362.65	5	0.02
363.65	11	0.04
365.80	1050	3.41
366.35	897	2.91
367.35	12	0.04
368.30	46	0.15
369.15	7	0.02
370.20	114	0.37
371.05	3	0.01
372.05	26	0.08
373.05	31	0.10
374.05	3	0.01
376.05	7	0.02
377.05	133	0.43
380.45	68	0.22
382.40	117	0.38
383.35	23	0.07
386.35	3	0.01
387.90	29	0.09
389.10	710	2.31
390.55	38	0.12
391.00	54	0.18
392.80	3105	10.08
395.75	1	0.00
396.75	3	0.01
397.75	3	0.01
400.75	1	0.00
401.75	2	0.01
404.75	3	0.01
408.75	2	0.01
410.85	48	0.16
413.75	14	0.05
414.65	2188	7.10
415.10	545	1.77
416.15	1010	3.28
419.60	28	0.09
421.45	95	0.31
424.45	2	0.01
427.50	3160	10.26
428.70	2543	8.26
430.65	26	0.08
431.65	3	0.01
433.00	227	0.74
434.95	5	0.02
437.95	23	0.07
438.95	7	0.02
441.40	2856	9.27
442.35	5	0.02
443.15	849	2.76
445.15	12	0.04
446.80	924	3.00
448.85	4	0.01
449.85	11	0.04
452.85	8	0.03
454.85	14	0.05
456.15	2544	8.26
456.90	2535	8.23
457.90	1170	3.80
458.85	1	0.00
459.85	13	0.04
462.85	60	0.19
463.90	17468	56.72
464.95	19	0.06
465.95	40	0.13
466.95	18	0.06
467.95	2	0.01
470.95	33	0.11
472.75	16	0.05
473.60	80	0.26
474.05	97	0.31
475.05	25	0.08
478.75	118	0.38
479.75	6	0.02
480.75	2	0.01
482.75	33	0.11
483.75	18	0.06
485.75	29	0.09
487.75	19	0.06
488.75	28	0.09
491.75	2	0.01
493.40	117	0.38
494.35	26	0.08
495.35	8	0.03
497.35	3	0.01
498.35	38	0.12
499.35	75	0.24
501.50	83	0.27
502.55	10	0.03
503.55	95	0.31
506.55	44	0.14
507.55	36	0.12
510.55	110	0.36
511.55	4	0.01
513.55	7	0.02
515.35	4	0.01
516.10	123	0.40
517.15	40	0.13
518.15	40	0.13
520.55	2878	9.34
