[MS Spectrum]
# of Peaks	1981
Raw Spectrum	[7.256],(scan:[2178])
Background	No Background Spectrum
Base Peak	m/z 60.60 (Inten : 14,854)
m/z	Absolute Intensity	Relative Intensity
50.90	7394	49.78
52.05	6387	43.00
52.70	2464	16.59
53.55	11365	76.51
54.95	5237	35.26
56.15	8989	60.52
57.00	2569	17.30
57.90	8565	57.66
59.10	2635	17.74
60.60	14854	100.00
61.30	2438	16.41
62.30	2581	17.38
63.50	11139	74.99
65.00	7318	49.27
66.20	6968	46.91
67.55	8255	55.57
67.80	2263	15.23
68.90	6480	43.62
69.95	4832	32.53
71.05	6323	42.57
72.15	4643	31.26
73.15	5088	34.25
74.20	4564	30.73
75.25	4699	31.63
76.30	4155	27.97
77.40	4172	28.09
78.40	4183	28.16
79.50	4642	31.25
80.70	4492	30.24
81.75	4241	28.55
82.85	3675	24.74
84.05	5645	38.00
85.15	2389	16.08
86.40	6416	43.19
87.40	1432	9.64
88.10	3234	21.77
89.70	7295	49.11
90.30	1514	10.19
91.30	3828	25.77
92.55	3175	21.37
93.55	3418	23.01
94.65	3023	20.35
95.70	2933	19.75
96.75	2879	19.38
97.90	3068	20.65
99.00	3647	24.55
100.05	2460	16.56
101.10	2930	19.73
102.15	3141	21.15
103.15	2604	17.53
104.45	2838	19.11
105.50	2328	15.67
106.45	2599	17.50
107.60	2579	17.36
108.70	2879	19.38
109.90	2618	17.62
110.85	2210	14.88
111.80	2094	14.10
112.95	2016	13.57
114.05	7464	50.25
115.10	630	4.24
116.30	850	5.72
117.25	1376	9.26
118.30	470	3.16
119.35	1691	11.38
120.50	1675	11.28
121.70	805	5.42
122.55	1453	9.78
123.65	2016	13.57
124.70	1051	7.08
126.00	2732	18.39
127.10	889	5.98
128.20	662	4.46
129.30	1250	8.42
130.15	1197	8.06
131.15	2071	13.94
132.30	1674	11.27
133.50	1207	8.13
134.45	1466	9.87
135.50	1220	8.21
136.70	1174	7.90
137.75	1216	8.19
138.70	1831	12.33
139.85	1380	9.29
140.85	1542	10.38
142.05	960	6.46
143.20	1169	7.87
144.30	1192	8.02
145.15	1432	9.64
146.35	1326	8.93
147.35	1534	10.33
148.65	951	6.40
149.50	1180	7.94
150.50	1465	9.86
151.70	1128	7.59
152.60	1008	6.79
153.65	1551	10.44
154.85	1208	8.13
156.00	1040	7.00
156.60	321	2.16
157.15	817	5.50
158.05	1235	8.31
159.25	1270	8.55
160.35	1406	9.47
161.40	1054	7.10
162.45	791	5.33
163.50	888	5.98
164.55	1152	7.76
165.60	1468	9.88
166.30	442	2.98
166.70	406	2.73
167.80	742	5.00
168.90	756	5.09
169.85	1117	7.52
170.95	946	6.37
171.90	984	6.62
173.00	1138	7.66
173.70	226	1.52
174.35	706	4.75
175.20	833	5.61
176.25	1090	7.34
177.35	879	5.92
178.00	211	1.42
178.60	646	4.35
179.65	1218	8.20
180.75	630	4.24
181.80	744	5.01
182.90	1278	8.60
184.00	641	4.32
185.00	1015	6.83
186.15	541	3.64
187.10	843	5.68
188.00	1711	11.52
188.60	665	4.48
189.35	678	4.56
190.35	714	4.81
191.60	581	3.91
192.40	428	2.88
192.80	316	2.13
193.10	133	0.90
193.75	455	3.06
194.70	575	3.87
195.80	588	3.96
196.85	455	3.06
198.00	382	2.57
199.00	603	4.06
200.20	659	4.44
200.70	232	1.56
201.25	547	3.68
202.20	685	4.61
203.40	991	6.67
204.50	887	5.97
205.10	267	1.80
205.60	588	3.96
206.50	779	5.24
207.55	816	5.49
208.25	451	3.04
208.80	528	3.55
209.80	573	3.86
210.75	691	4.65
211.90	490	3.30
213.15	1250	8.42
214.10	327	2.20
215.15	912	6.14
216.15	741	4.99
217.15	474	3.19
218.35	652	4.39
219.45	723	4.87
220.20	284	1.91
220.60	302	2.03
221.45	576	3.88
222.70	1032	6.95
223.65	797	5.37
225.05	807	5.43
226.00	417	2.81
226.95	539	3.63
228.10	808	5.44
229.10	363	2.44
230.10	899	6.05
231.30	637	4.29
232.35	582	3.92
233.45	702	4.73
234.50	547	3.68
235.75	433	2.92
236.15	117	0.79
236.70	722	4.86
237.55	670	4.51
238.80	342	2.30
240.10	792	5.33
241.00	503	3.39
242.10	520	3.50
243.20	728	4.90
244.30	103	0.69
245.35	636	4.28
246.40	535	3.60
247.35	615	4.14
248.45	415	2.79
249.60	493	3.32
250.70	513	3.45
251.80	479	3.22
252.40	71	0.48
252.90	425	2.86
254.05	452	3.04
254.95	843	5.68
256.05	249	1.68
257.20	627	4.22
258.20	710	4.78
259.20	578	3.89
260.35	630	4.24
261.40	650	4.38
262.65	618	4.16
263.65	394	2.65
264.40	380	2.56
264.75	247	1.66
265.75	375	2.52
266.60	630	4.24
267.90	399	2.69
268.90	367	2.47
270.15	513	3.45
271.15	413	2.78
272.10	573	3.86
273.30	432	2.91
274.50	394	2.65
275.40	632	4.25
276.50	331	2.23
277.25	168	1.13
277.60	166	1.12
278.70	621	4.18
279.60	908	6.11
280.80	302	2.03
281.80	335	2.26
282.95	493	3.32
284.15	480	3.23
284.90	785	5.28
286.20	326	2.19
287.35	914	6.15
288.30	441	2.97
289.20	126	0.85
289.55	239	1.61
290.40	457	3.08
291.50	194	1.31
292.25	104	0.70
292.65	289	1.95
293.75	306	2.06
294.70	436	2.94
295.85	497	3.35
296.95	770	5.18
298.05	438	2.95
298.80	158	1.06
299.25	265	1.78
300.15	615	4.14
301.20	267	1.80
302.30	613	4.13
303.35	478	3.22
304.30	429	2.89
