[MS Spectrum]
# of Peaks	2011
Raw Spectrum	[6.689],(scan:[2008])
Background	No Background Spectrum
Base Peak	m/z 61.35 (Inten : 16,129)
m/z	Absolute Intensity	Relative Intensity
355.80	584	3.62
356.75	340	2.11
357.90	285	1.77
358.90	373	2.31
359.45	37	0.23
360.15	201	1.25
361.10	371	2.30
361.95	243	1.51
363.25	377	2.34
364.30	416	2.58
365.40	303	1.88
366.45	444	2.75
367.40	231	1.43
368.65	507	3.14
369.70	377	2.34
370.70	397	2.46
371.70	339	2.10
372.95	487	3.02
373.85	470	2.91
374.55	26	0.16
375.10	133	0.82
376.00	170	1.05
377.15	396	2.46
378.30	332	2.06
378.80	163	1.01
379.40	351	2.18
379.95	155	0.96
380.40	108	0.67
381.50	436	2.70
382.00	173	1.07
382.75	1227	7.61
383.60	184	1.14
384.70	115	0.71
385.70	253	1.57
386.20	54	0.33
386.75	125	0.78
387.40	150	0.93
387.90	255	1.58
389.00	142	0.88
389.55	139	0.86
390.65	179	1.11
391.10	44	0.27
391.80	248	1.54
392.25	327	2.03
393.30	249	1.54
393.90	120	0.74
394.40	205	1.27
394.95	127	0.79
395.55	223	1.38
396.35	449	2.78
397.10	174	1.08
397.65	426	2.64
398.05	136	0.84
399.40	86	0.53
400.30	68	0.42
401.40	224	1.39
402.35	146	0.91
403.00	124	0.77
404.00	328	2.03
405.70	129	0.80
406.15	77	0.48
406.75	97	0.60
407.30	122	0.76
407.70	43	0.27
408.60	32	0.20
409.40	215	1.33
409.95	152	0.94
410.90	13	0.08
412.10	197	1.22
412.55	177	1.10
413.15	153	0.95
413.65	67	0.42
414.30	129	0.80
414.75	86	0.53
415.55	1195	7.41
416.70	114	0.71
417.40	116	0.72
418.50	391	2.42
419.15	398	2.47
419.60	204	1.26
420.20	142	0.88
420.60	69	0.43
421.20	272	1.69
421.70	199	1.23
422.35	147	0.91
422.75	275	1.71
423.90	166	1.03
424.35	111	0.69
425.05	148	0.92
425.45	119	0.74
426.35	300	1.86
427.15	51	0.32
427.55	210	1.30
428.70	85	0.53
429.85	250	1.55
430.35	471	2.92
431.15	1038	6.44
432.45	92	0.57
433.60	190	1.18
434.35	529	3.28
435.20	95	0.59
435.65	218	1.35
436.25	198	1.23
436.70	100	0.62
437.25	164	1.02
438.30	115	0.71
439.45	170	1.05
439.85	290	1.80
440.80	9	0.06
441.65	304	1.88
442.05	139	0.86
442.65	261	1.62
443.25	137	0.85
443.60	236	1.46
444.70	137	0.85
446.40	133	0.82
446.85	143	0.89
447.45	269	1.67
448.60	349	2.16
449.00	165	1.02
450.20	141	0.87
450.60	55	0.34
451.20	80	0.50
451.85	99	0.61
452.35	260	1.61
452.85	58	0.36
453.25	141	0.87
454.45	529	3.28
455.55	146	0.91
456.55	55	0.34
457.05	247	1.53
457.50	97	0.60
458.25	236	1.46
459.00	6	0.04
459.85	275	1.71
460.25	289	1.79
460.80	221	1.37
461.55	408	2.53
462.95	251	1.56
463.50	155	0.96
464.05	380	2.36
464.50	200	1.24
465.30	150	0.93
465.65	60	0.37
466.30	250	1.55
466.70	229	1.42
467.20	248	1.54
467.70	92	0.57
468.35	296	1.84
468.90	140	0.87
469.35	224	1.39
469.95	274	1.70
470.50	341	2.11
471.50	354	2.19
472.50	410	2.54
473.20	133	0.82
473.65	222	1.38
474.30	140	0.87
474.85	59	0.37
475.30	141	0.87
476.40	330	2.05
477.80	349	2.16
478.60	106	0.66
479.10	116	0.72
480.40	197	1.22
481.30	245	1.52
481.70	160	0.99
482.25	52	0.32
482.70	90	0.56
483.30	155	0.96
484.40	72	0.45
485.50	96	0.60
486.50	61	0.38
487.15	373	2.31
487.60	135	0.84
488.60	112	0.69
489.50	33	0.20
490.35	110	0.68
491.30	37	0.23
492.45	137	0.85
493.50	351	2.18
494.55	278	1.72
495.65	724	4.49
496.80	431	2.67
498.00	160	0.99
499.00	246	1.53
500.15	652	4.04
501.20	438	2.72
502.25	449	2.78
503.25	303	1.88
504.45	375	2.33
505.45	658	4.08
506.50	228	1.41
507.60	265	1.64
508.75	373	2.31
509.70	512	3.17
510.85	468	2.90
511.95	327	2.03
513.10	289	1.79
514.10	404	2.50
515.20	688	4.27
516.30	377	2.34
517.30	351	2.18
518.35	193	1.20
519.50	250	1.55
520.50	193	1.20
521.60	345	2.14
522.80	512	3.17
523.70	341	2.11
524.90	420	2.60
525.90	272	1.69
526.90	430	2.67
528.15	352	2.18
529.10	331	2.05
530.20	306	1.90
531.30	312	1.93
532.25	353	2.19
533.45	259	1.61
534.50	339	2.10
535.50	353	2.19
536.60	208	1.29
537.70	507	3.14
538.70	282	1.75
539.80	136	0.84
540.90	229	1.42
541.95	426	2.64
543.15	374	2.32
544.10	401	2.49
545.15	204	1.26
546.25	360	2.23
547.30	323	2.00
548.35	438	2.72
549.40	195	1.21
550.50	337	2.09
551.55	288	1.79
552.70	382	2.37
553.75	334	2.07
554.75	338	2.10
555.90	403	2.50
556.85	107	0.66
557.95	237	1.47
559.10	394	2.44
560.15	302	1.87
561.20	270	1.67
562.35	351	2.18
563.35	194	1.20
564.45	288	1.79
565.50	447	2.77
566.55	340	2.11
567.60	27	0.17
568.65	218	1.35
569.75	317	1.97
570.85	328	2.03
571.90	384	2.38
573.00	479	2.97
574.10	463	2.87
575.10	455	2.82
576.30	488	3.03
577.35	498	3.09
578.35	352	2.18
579.40	215	1.33
580.45	404	2.50
581.50	480	2.98
582.55	234	1.45
583.65	252	1.56
584.75	258	1.60
585.85	475	2.95
586.90	395	2.45
587.95	392	2.43
589.05	522	3.24
590.10	635	3.94
591.20	431	2.67
592.30	558	3.46
593.35	336	2.08
594.50	389	2.41
595.40	558	3.46
596.55	282	1.75
597.60	393	2.44
598.70	566	3.51
599.75	186	1.15
600.80	284	1.76
601.85	393	2.44
602.95	167	1.04
604.00	443	2.75
605.10	405	2.51
606.20	499	3.09
607.20	141	0.87
608.25	253	1.57
609.35	349	2.16
610.50	492	3.05
611.55	253	1.57
612.55	1245	7.72
613.60	299	1.85
614.65	273	1.69
615.80	275	1.71
616.90	275	1.71
617.80	255	1.58
618.95	314	1.95
620.05	236	1.46
621.20	372	2.31
622.20	398	2.47
623.30	639	3.96
624.40	400	2.48
625.45	511	3.17
626.45	226	1.40
627.50	310	1.92
628.70	394	2.44
629.70	271	1.68
630.80	384	2.38
631.80	352	2.18
632.95	234	1.45
633.95	315	1.95
635.00	485	3.01
636.15	226	1.40
637.15	319	1.98
638.40	1175	7.29
639.30	107	0.66
640.40	237	1.47
641.45	136	0.84
642.45	220	1.36
643.60	399	2.47
644.70	131	0.81
645.70	147	0.91
646.80	221	1.37
647.80	219	1.36
649.05	238	1.48
650.05	455	2.82
651.00	202	1.25
652.15	519	3.22
653.20	421	2.61
654.40	244	1.51
655.40	402	2.49
656.45	300	1.86
657.55	324	2.01
658.60	287	1.78
659.65	325	2.02
660.75	338	2.10
661.85	537	3.33
662.80	136	0.84
663.90	174	1.08
665.00	572	3.55
666.15	293	1.82
667.20	469	2.91
668.25	371	2.30
669.30	486	3.01
670.40	408	2.53
671.45	227	1.41
672.50	477	2.96
673.50	312	1.93
674.65	252	1.56
675.70	198	1.23
676.80	395	2.45
677.85	363	2.25
679.00	265	1.64
680.00	392	2.43
681.10	248	1.54
682.15	422	2.62
683.25	209	1.30
684.30	241	1.49
685.55	2023	12.54
686.45	281	1.74
687.60	549	3.40
688.55	279	1.73
689.60	296	1.84
691.10	2015	12.49
691.80	485	3.01
692.80	131	0.81
694.20	411	2.55
694.90	402	2.49
696.25	157	0.97
697.20	334	2.07
698.15	200	1.24
699.25	200	1.24
700.35	353	2.19
701.45	198	1.23
702.45	200	1.24
703.55	408	2.53
704.60	86	0.53
705.70	314	1.95
706.75	141	0.87
707.10	162	1.00
707.80	248	1.54
708.90	314	1.95
710.05	275	1.71
711.20	252	1.56
712.25	581	3.60
713.15	159	0.99
714.10	5	0.03
715.00	42	0.26
715.35	135	0.84
716.50	102	0.63
716.85	36	0.22
717.40	123	0.76
718.55	188	1.17
719.50	53	0.33
720.35	82	0.51
720.85	150	0.93
721.90	245	1.52
722.25	118	0.73
722.80	64	0.40
724.30	279	1.73
725.10	87	0.54
725.55	110	0.68
726.55	130	0.81
727.80	130	0.81
728.50	167	1.04
729.85	48	0.30
730.35	71	0.44
730.75	99	0.61
731.50	130	0.81
732.30	174	1.08
733.10	17	0.11
733.95	104	0.64
734.90	7	0.04
735.80	110	0.68
736.80	105	0.65
737.20	89	0.55
738.00	75	0.47
739.35	250	1.55
740.70	97	0.60
741.10	109	0.68
742.25	170	1.05
742.65	72	0.45
743.15	33	0.20
743.60	133	0.82
744.40	161	1.00
745.45	440	2.73
746.80	314	1.95
747.95	83	0.51
748.90	30	0.19
749.70	76	0.47
750.20	140	0.87
751.00	184	1.14
751.90	112	0.69
752.25	53	0.33
753.30	65	0.40
754.30	221	1.37
755.40	337	2.09
756.40	115	0.71
757.45	284	1.76
758.25	115	0.71
758.65	229	1.42
759.75	257	1.59
760.60	178	1.10
761.60	110	0.68
762.55	163	1.01
763.05	122	0.76
764.05	242	1.50
764.65	76	0.47
765.80	65	0.40
766.15	66	0.41
767.00	226	1.40
768.20	140	0.87
769.30	313	1.94
770.45	43	0.27
771.30	288	1.79
772.35	359	2.23
773.60	115	0.71
774.50	106	0.66
775.35	425	2.64
776.55	208	1.29
777.55	209	1.30
778.55	46	0.29
779.05	47	0.29
779.70	233	1.44
780.10	131	0.81
780.50	24	0.15
781.90	541	3.35
783.30	171	1.06
783.95	40	0.25
784.35	15	0.09
785.40	221	1.37
786.30	141	0.87
787.20	197	1.22
787.60	160	0.99
788.05	206	1.28
789.55	286	1.77
790.30	148	0.92
790.80	110	0.68
791.35	285	1.77
791.70	91	0.56
792.45	182	1.13
792.90	29	0.18
793.90	122	0.76
794.60	90	0.56
796.10	275	1.71
796.65	138	0.86
797.10	68	0.42
798.10	23	0.14
799.95	255	1.58
801.35	176	1.09
802.10	245	1.52
802.45	105	0.65
803.50	150	0.93
804.40	149	0.92
804.75	66	0.41
805.25	119	0.74
805.65	197	1.22
806.60	332	2.06
807.90	82	0.51
808.40	136	0.84
808.90	197	1.22
809.90	6	0.04
810.90	189	1.17
812.15	130	0.81
813.30	126	0.78
814.00	368	2.28
815.05	258	1.60
816.45	258	1.60
817.30	336	2.08
818.00	32	0.20
818.50	152	0.94
819.45	138	0.86
820.75	132	0.82
821.35	66	0.41
821.65	34	0.21
822.45	35	0.22
823.05	269	1.67
823.90	189	1.17
824.90	147	0.91
826.05	218	1.35
827.10	324	2.01
828.40	206	1.28
829.25	389	2.41
830.20	232	1.44
831.35	92	0.57
832.50	398	2.47
833.60	167	1.04
834.60	115	0.71
835.65	235	1.46
836.75	172	1.07
837.90	161	1.00
838.75	400	2.48
839.80	4	0.02
841.10	205	1.27
842.05	268	1.66
843.30	92	0.57
844.30	204	1.26
845.05	351	2.18
846.40	233	1.44
846.95	131	0.81
847.45	166	1.03
848.55	76	0.47
849.50	28	0.17
850.70	235	1.46
851.65	178	1.10
852.75	297	1.84
853.90	166	1.03
854.95	126	0.78
856.10	222	1.38
857.10	122	0.76
858.25	162	1.00
859.25	405	2.51
860.50	233	1.44
861.35	254	1.57
862.50	300	1.86
863.50	253	1.57
864.55	243	1.51
865.75	388	2.41
866.75	645	4.00
867.90	380	2.36
868.50	41	0.25
868.95	154	0.95
