[MS Spectrum]
# of Peaks	1950
Raw Spectrum	[6.407],(scan:[1923])
Background	No Background Spectrum
Base Peak	m/z 119.90 (Inten : 306,926)
m/z	Absolute Intensity	Relative Intensity
50.40	386	0.13
51.50	227	0.07
52.55	98	0.03
53.60	409	0.13
54.75	137	0.04
55.70	195	0.06
56.80	243	0.08
58.00	148	0.05
58.95	248	0.08
60.05	196	0.06
61.10	172	0.06
62.05	465	0.15
63.25	297	0.10
64.35	364	0.12
65.35	336	0.11
66.35	147	0.05
67.50	289	0.09
68.55	428	0.14
69.65	265	0.09
70.75	276	0.09
71.90	332	0.11
72.90	436	0.14
73.90	363	0.12
75.05	153	0.05
76.05	243	0.08
77.20	195	0.06
78.20	1544	0.50
79.10	61183	19.93
80.00	2503	0.82
80.80	2455	0.80
81.35	1348	0.44
82.40	1402	0.46
83.05	1065	0.35
83.80	41	0.01
84.60	193	0.06
85.75	241	0.08
87.05	379	0.12
87.75	700	0.23
88.85	206	0.07
90.00	459	0.15
91.05	169	0.06
92.15	256	0.08
93.10	297	0.10
94.15	328	0.11
95.25	159	0.05
96.40	522	0.17
97.30	634	0.21
98.40	1	0.00
99.60	335	0.11
100.55	409	0.13
102.10	461	0.15
102.75	602	0.20
103.85	270	0.09
104.95	234	0.08
105.95	285	0.09
107.00	233	0.08
108.25	531	0.17
109.20	390	0.13
110.15	95	0.03
111.40	474	0.15
112.30	703	0.23
113.50	396	0.13
114.65	357	0.12
115.65	84	0.03
116.85	437	0.14
117.75	608	0.20
118.70	2841	0.93
119.90	306926	100.00
121.10	6026	1.96
122.00	9740	3.17
122.85	712	0.23
124.40	757	0.25
125.25	360	0.12
126.30	433	0.14
127.30	292	0.10
128.55	623	0.20
129.95	1581	0.52
130.65	200	0.07
131.75	260	0.08
132.65	210	0.07
133.70	240	0.08
134.50	4	0.00
135.20	851	0.28
136.05	393	0.13
137.20	193	0.06
138.30	453	0.15
139.15	130	0.04
140.25	120	0.04
141.35	170	0.06
142.20	761	0.25
143.40	286	0.09
144.55	295	0.10
145.50	240	0.08
146.70	135	0.04
147.75	221	0.07
148.85	255	0.08
149.85	188	0.06
151.00	115	0.04
151.75	394	0.13
153.10	403	0.13
154.10	418	0.14
155.20	71	0.02
156.75	267346	87.10
157.60	18765	6.11
158.20	36791	11.99
159.05	12058	3.93
160.30	2556	0.83
161.65	282	0.09
162.70	754	0.25
163.80	1254	0.41
164.80	104	0.03
165.90	303	0.10
167.00	471	0.15
168.15	647	0.21
169.15	200	0.07
170.25	730	0.24
171.20	8	0.00
172.30	418	0.14
173.55	766	0.25
174.25	1164	0.38
175.65	244	0.08
