[MS Spectrum]
# of Peaks	1958
Raw Spectrum	[7.009],(scan:[2104])
Background	No Background Spectrum
Base Peak	m/z 52.75 (Inten : 12,516)
m/z	Absolute Intensity	Relative Intensity
50.15	6592	52.67
51.20	5773	46.12
52.75	12516	100.00
53.20	2553	20.40
54.35	6357	50.79
55.45	6600	52.73
56.60	2464	19.69
57.45	8704	69.54
58.70	6061	48.43
59.60	2453	19.60
60.80	7203	57.55
61.80	2643	21.12
62.75	8127	64.93
64.10	8786	70.20
65.45	7959	63.59
66.35	2961	23.66
67.20	6995	55.89
68.30	5472	43.72
69.60	8430	67.35
70.50	2157	17.23
71.45	5504	43.98
72.40	1958	15.64
73.65	5090	40.67
74.70	4223	33.74
75.80	4892	39.09
76.90	5200	41.55
77.80	1613	12.89
79.00	4102	32.77
80.10	4228	33.78
81.15	4326	34.56
82.10	1663	13.29
82.75	8082	64.57
84.40	3941	31.49
85.45	4262	34.05
86.45	3328	26.59
87.55	4332	34.61
88.65	3741	29.89
89.75	3441	27.49
90.85	3678	29.39
91.90	3154	25.20
92.95	3075	24.57
94.10	3465	27.68
95.10	2966	23.70
96.10	2952	23.59
97.25	3426	27.37
98.30	2786	22.26
99.40	3192	25.50
100.45	3072	24.54
101.50	2705	21.61
102.65	3143	25.11
103.65	2292	18.31
104.70	2937	23.47
105.85	2602	20.79
106.90	2432	19.43
108.00	2257	18.03
108.95	3255	26.01
110.10	2049	16.37
111.25	2347	18.75
112.35	2359	18.85
113.35	1899	15.17
114.35	2246	17.95
115.70	1215	9.71
116.60	2374	18.97
117.70	1761	14.07
118.65	2254	18.01
119.80	2042	16.32
120.85	2215	17.70
121.90	1894	15.13
123.00	2225	17.78
124.10	2171	17.35
125.10	1744	13.93
126.30	1579	12.62
127.30	1563	12.49
128.35	2063	16.48
129.45	1754	14.01
130.70	1050	8.39
131.55	1794	14.33
132.55	1360	10.87
133.70	1696	13.55
134.80	1122	8.96
135.75	1729	13.81
136.85	1825	14.58
137.95	1619	12.94
139.05	1424	11.38
140.10	1636	13.07
141.20	1440	11.51
142.25	1638	13.09
143.35	1513	12.09
144.35	1382	11.04
145.50	2031	16.23
146.45	1004	8.02
147.55	1795	14.34
148.70	1262	10.08
149.80	1600	12.78
150.55	704	5.62
151.05	607	4.85
151.80	1108	8.85
152.90	1304	10.42
154.10	1307	10.44
155.35	736	5.88
156.20	969	7.74
157.05	755	6.03
157.50	506	4.04
158.35	1303	10.41
159.35	878	7.02
160.35	1437	11.48
161.55	1010	8.07
162.60	1048	8.37
163.65	1250	9.99
165.05	924	7.38
165.90	1174	9.38
167.00	1442	11.52
168.10	760	6.07
169.05	1273	10.17
170.15	701	5.60
171.20	898	7.17
172.30	1268	10.13
173.35	965	7.71
174.45	992	7.93
175.45	1028	8.21
176.50	739	5.90
177.80	1057	8.45
178.70	1235	9.87
180.05	585	4.67
180.75	907	7.25
181.40	859	6.86
182.05	546	4.36
183.10	880	7.03
184.20	940	7.51
185.30	804	6.42
186.25	945	7.55
187.45	1292	10.32
188.50	1121	8.96
189.55	814	6.50
190.20	256	2.05
190.70	385	3.08
191.70	994	7.94
192.90	923	7.37
193.75	462	3.69
194.95	447	3.57
195.70	482	3.85
196.15	433	3.46
197.20	561	4.48
198.25	789	6.30
199.25	851	6.80
200.20	533	4.26
201.15	568	4.54
202.05	437	3.49
202.55	508	4.06
203.70	350	2.80
204.50	648	5.18
205.45	582	4.65
206.80	325	2.60
207.80	876	7.00
208.75	593	4.74
209.55	527	4.21
210.00	419	3.35
211.05	939	7.50
212.15	397	3.17
213.20	785	6.27
213.75	173	1.38
214.35	605	4.83
215.15	795	6.35
216.55	608	4.86
217.40	908	7.25
218.40	506	4.04
219.30	74	0.59
219.95	3945	31.52
220.90	34	0.27
222.70	617	4.93
223.80	274	2.19
