[MS Spectrum]
# of Peaks	1930
Raw Spectrum	[6.687],(scan:[2007])
Background	No Background Spectrum
Base Peak	m/z 119.90 (Inten : 316,950)
m/z	Absolute Intensity	Relative Intensity
362.30	432	0.14
363.30	424	0.13
364.40	330	0.10
365.35	720	0.23
366.10	45	0.01
366.90	552	0.17
367.65	463	0.15
368.60	99	0.03
369.75	194	0.06
370.85	789	0.25
371.90	418	0.13
372.95	300	0.09
374.00	190	0.06
375.10	294	0.09
376.25	1008	0.32
377.20	419	0.13
378.30	387	0.12
379.35	399	0.13
380.40	339	0.11
381.45	405	0.13
382.55	346	0.11
383.55	379	0.12
384.90	1230	0.39
385.75	302	0.10
386.85	295	0.09
387.85	178	0.06
389.15	63	0.02
390.05	212	0.07
391.05	288	0.09
392.20	411	0.13
393.60	1501	0.47
394.35	466	0.15
395.35	337	0.11
396.40	476	0.15
397.60	784	0.25
398.65	1061	0.33
399.80	1527	0.48
400.65	449	0.14
401.75	207	0.07
402.70	745	0.24
403.80	374	0.12
405.00	398	0.13
406.05	355	0.11
407.15	313	0.10
408.20	248	0.08
409.25	315	0.10
410.30	535	0.17
411.45	368	0.12
412.40	292	0.09
413.45	218	0.07
414.65	244	0.08
415.65	374	0.12
416.65	179	0.06
417.60	1691	0.53
418.85	388	0.12
420.00	55	0.02
420.95	388	0.12
422.05	179	0.06
423.20	189	0.06
424.30	1287	0.41
425.20	211	0.07
426.30	431	0.14
427.45	270	0.09
428.45	199	0.06
429.60	1297	0.41
430.65	221	0.07
431.70	224	0.07
432.70	550	0.17
433.75	472	0.15
434.95	200	0.06
436.10	196	0.06
436.90	186	0.06
437.80	2930	0.92
439.15	309	0.10
440.30	271	0.09
441.40	281	0.09
442.45	434	0.14
443.45	304	0.10
444.55	360	0.11
445.75	867	0.27
446.85	796	0.25
447.75	321	0.10
448.70	236	0.07
449.50	380	0.12
450.00	286	0.09
451.00	302	0.10
452.00	331	0.10
453.20	180	0.06
454.15	274	0.09
454.95	1505	0.47
455.35	703	0.22
456.30	249	0.08
457.70	1201	0.38
458.50	290	0.09
459.55	309	0.10
460.60	315	0.10
461.85	334	0.11
462.85	253	0.08
463.80	224	0.07
464.95	150	0.05
466.05	294	0.09
467.15	289	0.09
468.20	221	0.07
469.20	340	0.11
470.30	414	0.13
471.50	328	0.10
472.35	406	0.13
473.50	378	0.12
474.60	404	0.13
475.60	386	0.12
476.75	481	0.15
477.75	221	0.07
478.80	222	0.07
479.95	284	0.09
480.95	502	0.16
482.05	351	0.11
483.15	367	0.12
484.20	449	0.14
485.30	380	0.12
486.40	384	0.12
