[MS Spectrum]
# of Peaks	2020
Raw Spectrum	[6.409],(scan:[1924])
Background	No Background Spectrum
Base Peak	m/z 71.50 (Inten : 10,619)
m/z	Absolute Intensity	Relative Intensity
50.70	6000	56.50
51.80	7078	66.65
52.95	6196	58.35
53.60	2067	19.47
54.60	2368	22.30
55.40	2245	21.14
56.25	5685	53.54
57.10	2425	22.84
58.15	6597	62.12
59.30	7163	67.45
60.00	2408	22.68
61.00	2463	23.19
62.20	10230	96.34
63.60	7055	66.44
64.75	6608	62.23
65.70	4649	43.78
66.85	8633	81.30
67.95	3818	35.95
68.70	2143	20.18
69.65	7893	74.33
70.80	2114	19.91
71.50	10619	100.00
73.10	4601	43.33
74.15	4748	44.71
75.30	5128	48.29
76.30	3457	32.55
77.35	4702	44.28
78.45	4641	43.70
79.55	4427	41.69
80.55	3897	36.70
81.50	1544	14.54
82.75	4095	38.56
83.95	4104	38.65
84.90	3008	28.33
85.90	4593	43.25
86.80	1227	11.55
88.00	3334	31.40
89.10	4020	37.86
90.20	2847	26.81
91.25	3371	31.74
92.35	3285	30.94
93.35	2545	23.97
94.45	4020	37.86
95.50	2484	23.39
96.50	3185	29.99
97.60	3506	33.02
98.75	2827	26.62
99.80	3638	34.26
100.90	2208	20.79
101.75	2075	19.54
103.00	2586	24.35
104.10	2667	25.12
105.15	3248	30.59
106.45	3249	30.60
107.45	1642	15.46
108.30	1508	14.20
109.40	2866	26.99
110.50	2340	22.04
111.60	2503	23.57
112.75	2338	22.02
113.60	1077	10.14
114.90	2320	21.85
115.90	1978	18.63
117.00	2265	21.33
118.05	1822	17.16
119.10	2614	24.62
120.30	1852	17.44
121.65	919	8.65
122.35	1587	14.94
123.40	2092	19.70
124.50	2171	20.44
125.55	1736	16.35
126.60	1571	14.79
127.65	1106	10.42
128.40	1741	16.40
129.90	2046	19.27
131.25	1709	16.09
132.10	1647	15.51
133.10	1332	12.54
134.25	1714	16.14
135.20	1172	11.04
136.25	891	8.39
136.75	741	6.98
137.45	1341	12.63
138.35	1114	10.49
139.55	1760	16.57
140.55	1422	13.39
141.75	1245	11.72
142.75	1600	15.07
143.65	878	8.27
144.85	1283	12.08
145.90	1932	18.19
147.25	1103	10.39
148.00	1033	9.73
148.90	799	7.52
149.55	804	7.57
150.30	540	5.09
151.20	1326	12.49
152.40	1225	11.54
153.35	1239	11.67
154.10	362	3.41
154.95	916	8.63
155.55	418	3.94
156.45	1185	11.16
157.10	418	3.94
158.30	1500	14.13
159.65	1588	14.95
160.90	856	8.06
161.95	882	8.31
163.35	1238	11.66
164.35	1110	10.45
165.30	549	5.17
165.70	393	3.70
166.30	859	8.09
166.80	488	4.60
167.40	893	8.41
168.15	1786	16.82
169.40	787	7.41
169.95	180	1.70
170.55	633	5.96
171.60	825	7.77
172.25	181	1.70
172.65	339	3.19
173.60	636	5.99
174.20	678	6.38
175.05	1493	14.06
175.90	577	5.43
176.50	440	4.14
177.35	795	7.49
178.20	655	6.17
179.30	1065	10.03
180.45	913	8.60
181.35	1012	9.53
182.35	480	4.52
182.80	267	2.51
183.60	1184	11.15
184.60	919	8.65
185.55	495	4.66
186.15	300	2.83
186.70	439	4.13
187.10	316	2.98
187.80	906	8.53
188.55	380	3.58
188.95	173	1.63
189.85	982	9.25
190.75	656	6.18
191.30	300	2.83
191.65	179	1.69
192.40	471	4.44
193.20	473	4.45
193.95	534	5.03
194.50	498	4.69
195.35	496	4.67
196.15	562	5.29
196.70	274	2.58
197.35	377	3.55
198.80	523	4.93
199.50	401	3.78
199.95	418	3.94
200.80	243	2.29
202.10	324	3.05
202.75	416	3.92
203.55	1126	10.60
204.20	534	5.03
205.30	275	2.59
206.40	380	3.58
207.30	504	4.75
208.05	555	5.23
208.75	189	1.78
209.10	226	2.13
209.55	344	3.24
210.40	416	3.92
211.40	304	2.86
211.80	247	2.33
212.55	734	6.91
213.30	535	5.04
214.25	1341	12.63
215.50	354	3.33
216.15	171	1.61
216.60	416	3.92
217.20	395	3.72
217.95	925	8.71
218.75	348	3.28
219.20	203	1.91
219.90	839	7.90
220.80	492	4.63
221.60	559	5.26
222.30	270	2.54
223.15	774	7.29
224.60	172	1.62
225.30	358	3.37
225.70	232	2.18
226.15	222	2.09
226.80	239	2.25
227.45	467	4.40
228.45	345	3.25
228.95	276	2.60
229.55	761	7.17
230.30	101	0.95
231.10	533	5.02
231.55	274	2.58
232.10	209	1.97
232.70	401	3.78
233.75	278	2.62
234.25	155	1.46
235.05	450	4.24
236.35	290	2.73
237.70	321	3.02
238.45	295	2.78
239.10	496	4.67
240.30	431	4.06
241.15	363	3.42
242.25	441	4.15
242.80	145	1.37
243.40	575	5.41
244.30	295	2.78
244.90	607	5.72
245.50	261	2.46
246.50	409	3.85
247.00	102	0.96
247.75	648	6.10
248.60	131	1.23
249.15	179	1.69
249.80	82	0.77
250.20	111	1.05
250.80	474	4.46
251.90	401	3.78
253.15	698	6.57
253.85	708	6.67
255.20	775	7.30
256.15	493	4.64
256.55	217	2.04
257.45	266	2.50
258.35	355	3.34
259.35	581	5.47
260.45	135	1.27
261.75	888	8.36
262.70	400	3.77
263.60	513	4.83
264.60	614	5.78
265.70	416	3.92
266.30	679	6.39
267.30	132	1.24
268.05	642	6.05
268.85	452	4.26
270.20	332	3.13
271.20	256	2.41
272.00	823	7.75
273.30	420	3.96
273.75	120	1.13
274.40	495	4.66
275.55	494	4.65
276.60	514	4.84
277.50	328	3.09
278.00	220	2.07
278.55	307	2.89
279.05	237	2.23
279.80	460	4.33
280.80	459	4.32
281.55	402	3.79
282.25	156	1.47
283.05	856	8.06
283.95	433	4.08
285.15	489	4.60
286.10	560	5.27
287.20	553	5.21
288.25	293	2.76
289.30	540	5.09
290.50	318	2.99
291.40	345	3.25
292.70	590	5.56
293.60	437	4.12
294.70	267	2.51
295.05	169	1.59
295.70	533	5.02
296.70	353	3.32
297.30	181	1.70
298.00	523	4.93
298.80	384	3.62
299.50	153	1.44
300.20	246	2.32
301.10	388	3.65
301.55	108	1.02
302.20	683	6.43
303.20	316	2.98
304.15	399	3.76
305.40	495	4.66
306.35	412	3.88
307.35	223	2.10
307.80	295	2.78
308.50	388	3.65
309.40	248	2.34
310.80	561	5.28
311.60	289	2.72
312.10	132	1.24
312.80	216	2.03
313.20	245	2.31
313.80	409	3.85
