[MS Spectrum]
# of Peaks	1891
Raw Spectrum	[7.253],(scan:[2177])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 55,842)
m/z	Absolute Intensity	Relative Intensity
50.85	367	0.66
51.95	199	0.36
53.00	346	0.62
54.15	344	0.62
55.30	401	0.72
56.30	210	0.38
57.35	244	0.44
58.45	348	0.62
59.60	869	1.56
60.50	204	0.37
61.70	238	0.43
62.75	466	0.83
63.85	365	0.65
64.95	220	0.39
66.00	355	0.64
67.05	232	0.42
68.15	527	0.94
69.25	305	0.55
70.30	172	0.31
71.35	312	0.56
72.45	476	0.85
73.50	307	0.55
74.60	347	0.62
75.65	306	0.55
76.75	435	0.78
77.70	286	0.51
79.15	13142	23.53
80.10	369	0.66
81.10	976	1.75
82.20	292	0.52
83.10	826	1.48
84.25	202	0.36
85.35	438	0.78
86.50	378	0.68
87.50	348	0.62
88.60	390	0.70
89.65	403	0.72
90.70	260	0.47
91.75	284	0.51
92.95	447	0.80
93.95	441	0.79
95.05	483	0.86
96.15	269	0.48
97.20	187	0.33
98.25	439	0.79
99.30	429	0.77
100.30	272	0.49
100.65	210	0.38
101.45	381	0.68
102.50	346	0.62
103.60	353	0.63
104.70	283	0.51
105.70	293	0.52
106.85	426	0.76
107.90	218	0.39
109.00	280	0.50
110.05	433	0.78
111.15	551	0.99
112.30	362	0.65
113.35	613	1.10
114.35	416	0.74
115.35	426	0.76
116.60	997	1.79
117.05	1030	1.84
117.60	328	0.59
118.50	294	0.53
119.85	53246	95.35
121.40	4102	7.35
122.15	2493	4.46
122.80	830	1.49
123.55	747	1.34
124.30	28	0.05
125.15	387	0.69
126.20	579	1.04
127.20	437	0.78
128.40	398	0.71
129.40	211	0.38
130.45	248	0.44
131.50	341	0.61
132.55	177	0.32
133.70	321	0.57
134.75	244	0.44
135.80	327	0.59
136.90	385	0.69
138.00	237	0.42
139.00	105	0.19
140.10	269	0.48
141.20	305	0.55
142.25	222	0.40
143.45	479	0.86
144.40	262	0.47
145.55	176	0.32
146.60	360	0.64
147.70	369	0.66
148.80	364	0.65
149.85	183	0.33
150.90	297	0.53
151.95	316	0.57
153.05	86	0.15
154.10	238	0.43
155.10	478	0.86
156.10	7130	12.77
156.85	55842	100.00
158.00	2052	3.67
158.80	5772	10.34
159.70	308	0.55
160.65	296	0.53
161.60	362	0.65
162.70	320	0.57
163.85	212	0.38
164.90	241	0.43
165.95	211	0.38
167.00	405	0.73
168.10	326	0.58
169.15	286	0.51
170.30	183	0.33
171.35	595	1.07
172.35	98	0.18
173.20	193	0.35
173.85	2380	4.26
174.55	494	0.88
175.65	239	0.43
176.75	244	0.44
177.75	227	0.41
178.80	335	0.60
180.00	331	0.59
181.10	295	0.53
182.15	428	0.77
183.20	189	0.34
184.25	385	0.69
185.35	924	1.65
186.45	335	0.60
187.65	136	0.24
188.60	308	0.55
189.65	372	0.67
190.70	248	0.44
191.80	218	0.39
192.85	228	0.41
193.95	321	0.57
195.10	392	0.70
196.15	304	0.54
197.30	965	1.73
198.15	563	1.01
199.40	392	0.70
200.40	434	0.78
201.50	377	0.68
202.60	632	1.13
203.65	318	0.57
204.70	389	0.70
205.85	297	0.53
206.80	374	0.67
207.95	711	1.27
209.05	321	0.57
210.10	170	0.30
211.20	208	0.37
212.35	327	0.59
213.35	514	0.92
214.45	144	0.26
215.50	591	1.06
216.55	294	0.53
217.80	80	0.14
218.75	394	0.71
219.85	321	0.57
220.90	302	0.54
222.05	321	0.57
223.10	317	0.57
224.15	187	0.33
225.15	256	0.46
226.40	304	0.54
227.40	376	0.67
228.40	203	0.36
229.55	244	0.44
230.55	397	0.71
231.65	338	0.61
232.80	314	0.56
233.80	374	0.67
234.95	137	0.25
235.95	219	0.39
236.95	177	0.32
238.15	411	0.74
239.20	595	1.07
240.25	257	0.46
241.30	332	0.59
242.40	439	0.79
243.50	359	0.64
244.55	363	0.65
245.60	299	0.54
246.70	297	0.53
247.80	366	0.66
248.90	271	0.49
249.95	279	0.50
251.00	397	0.71
252.10	190	0.34
253.25	259	0.46
254.30	252	0.45
255.35	401	0.72
256.40	341	0.61
257.50	399	0.71
258.50	376	0.67
259.70	340	0.61
260.75	2078	3.72
261.95	1847	3.31
262.85	269	0.48
263.90	198	0.35
264.85	749	1.34
266.15	271	0.49
267.25	326	0.58
268.25	132	0.24
269.40	307	0.55
270.50	1087	1.95
271.50	269	0.48
272.25	1076	1.93
273.55	423	0.76
274.75	401	0.72
275.80	499	0.89
276.80	148	0.27
277.95	570	1.02
279.15	207	0.37
280.05	142	0.25
281.15	403	0.72
282.35	332	0.59
283.40	268	0.48
284.05	1714	3.07
285.50	305	0.55
286.55	197	0.35
287.65	193	0.35
288.75	81	0.15
289.80	545	0.98
290.75	235	0.42
291.85	497	0.89
293.15	175	0.31
294.15	120	0.21
295.05	439	0.79
296.40	269	0.48
297.45	114	0.20
297.95	650	1.16
298.50	141	0.25
299.45	479	0.86
300.60	249	0.45
301.70	223	0.40
302.65	214	0.38
303.85	123	0.22
305.00	203	0.36
305.95	1235	2.21
307.05	122	0.22
308.20	227	0.41
309.30	254	0.45
310.35	241	0.43
311.45	200	0.36
312.45	131	0.23
313.65	440	0.79
314.65	392	0.70
315.65	266	0.48
316.90	626	1.12
317.90	3495	6.26
318.65	27601	49.43
319.80	878	1.57
321.10	370	0.66
322.35	286	0.51
323.25	291	0.52
324.30	351	0.63
325.40	252	0.45
326.55	268	0.48
327.55	167	0.30
328.70	309	0.55
329.45	2448	4.38
330.30	413	0.74
330.70	259	0.46
332.05	371	0.66
333.00	273	0.49
334.05	474	0.85
335.20	620	1.11
336.25	382	0.68
337.20	83	0.15
338.30	276	0.49
339.45	233	0.42
340.40	716	1.28
340.90	205	0.37
341.55	149	0.27
