[MS Spectrum]
# of Peaks	594
Raw Spectrum	[6.847],(scan:[2740])
Background	No Background Spectrum
Base Peak	m/z 56.40 (Inten : 47,497)
m/z	Absolute Intensity	Relative Intensity
382.80	1410	2.97
383.75	24	0.05
387.25	163	0.34
387.95	78	0.16
390.05	64	0.13
391.05	30	0.06
392.05	8	0.02
393.05	5	0.01
397.35	993	2.09
397.85	122	0.26
399.35	289	0.61
400.00	68	0.14
400.90	498	1.05
402.00	1515	3.19
402.70	53	0.11
404.65	3	0.01
405.95	69	0.15
406.90	2838	5.98
407.50	46	0.10
409.10	1357	2.86
410.05	4	0.01
413.55	81	0.17
414.55	28	0.06
415.95	1031	2.17
417.95	2066	4.35
419.30	1357	2.86
420.10	1940	4.08
420.95	679	1.43
421.95	1	0.00
423.35	45	0.09
425.20	5091	10.72
426.50	2561	5.39
427.45	2	0.00
428.30	141	0.30
430.25	11	0.02
431.05	4762	10.03
432.95	12	0.03
433.70	1102	2.32
435.15	1580	3.33
436.15	46	0.10
437.00	1370	2.88
440.05	9	0.02
442.05	44	0.09
443.35	876	1.84
445.10	2086	4.39
446.15	31	0.07
447.15	301	0.63
448.15	18079	38.06
449.10	15867	33.41
449.60	3539	7.45
450.20	2794	5.88
450.95	1336	2.81
452.35	97	0.20
454.20	255	0.54
455.35	1461	3.08
456.80	80	0.17
458.20	33	0.07
458.75	33	0.07
459.75	3	0.01
465.15	1855	3.91
466.15	12	0.03
467.15	1	0.00
468.75	121	0.25
470.75	1	0.00
472.05	416	0.88
473.50	114	0.24
476.45	38	0.08
477.95	5528	11.64
478.95	21	0.04
480.95	19	0.04
482.30	41	0.09
482.70	83	0.17
484.30	279	0.59
485.40	1723	3.63
488.35	3	0.01
489.85	409	0.86
491.00	673	1.42
491.55	32	0.07
492.55	13	0.03
494.20	530	1.12
494.70	67	0.14
495.85	34	0.07
497.35	215	0.45
498.35	4	0.01
499.45	31	0.07
500.45	6	0.01
501.40	1456	3.07
503.35	16	0.03
504.90	1659	3.49
506.30	2745	5.78
508.15	7	0.01
509.10	783	1.65
509.55	369	0.78
512.55	631	1.33
513.25	1369	2.88
513.90	80	0.17
514.65	4	0.01
515.40	45	0.09
516.45	60	0.13
518.45	13	0.03
519.40	3100	6.53
520.35	48	0.10
521.35	32	0.07
523.10	91	0.19
524.15	6	0.01
525.15	51	0.11
526.15	9	0.02
528.15	8	0.02
529.15	27	0.06
530.15	13	0.03
532.15	25	0.05
533.15	10	0.02
534.15	3	0.01
536.15	3	0.01
538.15	5	0.01
539.20	1493	3.14
540.00	919	1.93
540.90	3952	8.32
542.60	903	1.90
543.10	445	0.94
544.05	33	0.07
545.05	4	0.01
546.95	6	0.01
547.85	1582	3.33
549.90	77	0.16
550.85	2	0.00
552.85	9	0.02
554.30	316	0.67
557.10	34	0.07
557.50	50	0.11
558.70	40	0.08
559.30	1520	3.20
560.25	15	0.03
562.25	11	0.02
566.25	17	0.04
567.85	217	0.46
569.85	8	0.02
570.90	1839	3.87
572.85	33	0.07
573.85	16	0.03
578.35	69	0.15
581.45	47	0.10
584.45	11	0.02
589.10	82	0.17
592.25	420	0.88
592.70	832	1.75
593.50	993	2.09
594.20	1516	3.19
596.45	52	0.11
599.45	72	0.15
601.60	1469	3.09
602.65	15	0.03
605.30	815	1.72
606.95	41	0.09
608.15	735	1.55
608.65	27	0.06
609.90	86	0.18
611.50	28	0.06
612.10	454	0.96
612.95	28	0.06
613.80	350	0.74
617.40	31	0.07
618.45	1157	2.44
619.05	1112	2.34
619.95	1154	2.43
621.85	2	0.00
622.75	346	0.73
624.60	1964	4.13
626.45	44	0.09
629.30	56	0.12
630.75	72	0.15
633.30	1463	3.08
634.25	2	0.00
635.20	49	0.10
635.75	166	0.35
637.25	509	1.07
637.80	23	0.05
638.65	13	0.03
639.45	2016	4.24
641.95	933	1.96
644.30	42	0.09
646.10	37	0.08
647.05	12	0.03
648.05	2445	5.15
648.60	293	0.62
649.45	26	0.05
650.20	55	0.12
654.80	92	0.19
655.85	1	0.00
659.75	707	1.49
660.50	7107	14.96
661.40	6430	13.54
662.00	3318	6.99
662.60	5407	11.38
663.00	911	1.92
