[MS Spectrum]
# of Peaks	699
Raw Spectrum	[7.037],(scan:[2816])
Background	No Background Spectrum
Base Peak	m/z 190.45 (Inten : 50,540)
m/z	Absolute Intensity	Relative Intensity
305.55	156	0.31
307.10	109	0.22
307.95	41	0.08
308.75	322	0.64
309.75	135	0.27
310.85	5171	10.23
312.80	690	1.37
313.85	2	0.00
314.85	26	0.05
315.95	1770	3.50
316.95	21	0.04
318.20	2050	4.06
319.15	137	0.27
320.15	55	0.11
321.25	2089	4.13
322.25	44	0.09
324.25	26	0.05
325.25	9	0.02
326.15	115	0.23
327.15	4	0.01
328.25	1022	2.02
328.75	1540	3.05
330.15	672	1.33
330.90	468	0.93
332.85	7	0.01
333.85	58	0.11
335.75	12	0.02
336.60	634	1.25
337.65	1232	2.44
338.10	363	0.72
338.95	2	0.00
339.80	145	0.29
341.65	2	0.00
342.50	881	1.74
343.05	543	1.07
344.15	506	1.00
344.95	1204	2.38
345.85	20	0.04
346.80	2281	4.51
347.75	3	0.01
348.75	17	0.03
350.10	117	0.23
350.95	7	0.01
351.80	358	0.71
353.65	2	0.00
354.45	98	0.19
355.00	209	0.41
356.05	20	0.04
357.00	3461	6.85
358.15	5335	10.56
358.70	2801	5.54
359.65	3	0.01
360.55	253	0.50
361.55	19	0.04
362.55	97	0.19
363.55	62	0.12
364.70	612	1.21
366.90	1248	2.47
367.85	7	0.01
368.85	4	0.01
369.85	18	0.04
371.00	4764	9.43
372.50	275	0.54
373.10	68	0.13
373.40	60	0.12
374.35	554	1.10
375.25	43	0.09
376.25	153	0.30
377.25	52	0.10
378.25	28	0.06
379.25	22	0.04
380.25	50	0.10
381.05	29	0.06
381.90	1470	2.91
383.70	623	1.23
384.85	23	0.05
385.85	9	0.02
386.85	19	0.04
387.70	120	0.24
388.85	352	0.70
389.85	1	0.00
390.85	14	0.03
391.85	41	0.08
392.85	32	0.06
393.85	84	0.17
397.20	430	0.85
398.15	532	1.05
399.45	746	1.48
400.35	98	0.19
401.35	16	0.03
402.25	3	0.01
403.10	1223	2.42
403.60	1750	3.46
404.15	3193	6.32
405.15	30	0.06
406.15	52	0.10
407.15	3	0.01
408.15	10	0.02
409.15	9	0.02
410.15	62	0.12
411.15	3	0.01
412.45	667	1.32
414.85	1410	2.79
416.60	124	0.25
417.55	76	0.15
418.55	14	0.03
419.55	20	0.04
420.55	7	0.01
421.55	10	0.02
422.55	384	0.76
423.30	4467	8.84
423.90	1905	3.77
424.95	2190	4.33
425.95	24	0.05
427.20	1360	2.69
428.25	377	0.75
429.25	116	0.23
430.35	847	1.68
431.00	894	1.77
433.05	299	0.59
434.20	510	1.01
435.15	70	0.14
436.15	26	0.05
437.20	1558	3.08
439.05	137	0.27
441.20	248	0.49
442.25	30	0.06
443.25	39	0.08
444.25	15	0.03
445.65	1516	3.00
446.65	92	0.18
447.95	527	1.04
448.85	102	0.20
449.70	5341	10.57
450.75	559	1.11
453.65	1741	3.44
454.65	12	0.02
458.65	47	0.09
459.65	10	0.02
460.65	52	0.10
461.85	16318	32.29
463.00	3328	6.58
464.05	7	0.01
465.00	1004	1.99
466.95	5	0.01
468.95	38	0.08
471.30	605	1.20
474.75	63	0.12
476.75	25	0.05
477.75	1885	3.73
