[MS Spectrum]
# of Peaks	674
Raw Spectrum	[7.295],(scan:[2919])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 175,673)
m/z	Absolute Intensity	Relative Intensity
381.70	222	0.13
383.10	924	0.53
384.55	1184	0.67
385.30	82	0.05
388.25	482	0.27
390.20	176	0.10
391.05	18	0.01
391.85	2526	1.44
393.30	828	0.47
394.80	155	0.09
395.65	458	0.26
396.05	286	0.16
396.95	403	0.23
397.80	1210	0.69
398.65	16	0.01
399.25	946	0.54
400.10	272	0.15
401.50	1103	0.63
402.05	158	0.09
402.90	171	0.10
403.35	525	0.30
404.25	134	0.08
405.30	234	0.13
406.00	586	0.33
407.00	1197	0.68
408.10	116	0.07
409.80	575	0.33
411.40	534	0.30
412.45	832	0.47
413.05	380	0.22
414.05	1105	0.63
415.05	76426	43.50
416.00	21708	12.36
416.95	6352	3.62
417.95	755	0.43
418.95	26	0.01
420.05	2059	1.17
426.10	536	0.31
426.80	328	0.19
428.05	3950	2.25
428.85	65	0.04
429.85	1515	0.86
430.95	754	0.43
432.00	51200	29.15
433.05	12964	7.38
434.10	2547	1.45
435.40	623	0.35
436.05	305	0.17
436.85	4884	2.78
437.90	5664	3.22
440.05	284	0.16
440.75	475	0.27
443.15	844	0.48
444.45	1115	0.63
445.25	3830	2.18
446.00	54744	31.16
447.15	9482	5.40
448.35	892	0.51
450.70	1560	0.89
453.10	4719	2.69
453.85	1011	0.58
456.85	33	0.02
458.10	2098	1.19
459.15	2148	1.22
460.10	90649	51.60
461.10	29957	17.05
462.20	7305	4.16
462.80	1276	0.73
463.45	1025	0.58
464.60	2220	1.26
465.30	207	0.12
468.40	564	0.32
469.00	111	0.06
471.80	473	0.27
473.90	1687	0.96
474.80	817	0.47
476.15	939	0.53
477.30	113	0.06
478.25	381	0.22
479.20	711	0.40
480.00	794	0.45
481.20	2443	1.39
482.30	2017	1.15
483.25	11342	6.46
484.30	211	0.12
484.85	1706	0.97
485.35	315	0.18
486.55	887	0.50
488.10	742	0.42
488.60	23	0.01
489.45	44	0.03
490.25	456	0.26
490.90	626	0.36
493.35	1156	0.66
494.10	370	0.21
494.45	448	0.26
495.10	2052	1.17
496.65	988	0.56
497.50	84	0.05
497.95	766	0.44
498.75	1195	0.68
499.55	513	0.29
500.85	820	0.47
501.75	687	0.39
502.65	3231	1.84
503.45	431	0.25
505.10	803	0.46
506.05	32	0.02
507.20	166	0.09
507.70	60	0.03
508.30	104	0.06
510.00	319	0.18
511.20	755	0.43
512.05	223	0.13
512.45	255	0.15
513.20	1487	0.85
513.90	477	0.27
514.40	760	0.43
515.00	1176	0.67
516.30	1181	0.67
517.25	1	0.00
518.05	260	0.15
520.30	424	0.24
520.95	923	0.53
522.85	474	0.27
523.85	44	0.03
525.65	530	0.30
526.15	1507	0.86
527.05	287	0.16
527.85	7102	4.04
528.65	2218	1.26
529.40	6386	3.64
530.00	9947	5.66
531.05	2432	1.38
532.10	1191	0.68
532.55	464	0.26
533.90	472	0.27
536.10	2010	1.14
537.30	2575	1.47
539.00	237	0.13
539.40	408	0.23
540.30	390	0.22
542.45	495	0.28
543.35	2	0.00
543.95	391	0.22
544.70	532	0.30
546.80	465	0.26
547.55	2763	1.57
548.55	950	0.54
549.55	5825	3.32
550.35	8159	4.64
551.10	2209	1.26
552.25	1763	1.00
553.45	1669	0.95
554.45	3	0.00
555.55	442	0.25
556.40	404	0.23
557.40	242	0.14
558.20	640	0.36
559.15	929	0.53
559.95	658	0.37
560.85	431	0.25
561.30	1116	0.64
562.10	2077	1.18
562.50	819	0.47
563.20	446	0.25
564.05	563	0.32
565.20	1247	0.71
566.05	48	0.03
566.90	466	0.27
567.55	187	0.11
568.85	4651	2.65
569.85	1392	0.79
570.60	2674	1.52
571.90	1614	0.92
572.50	495	0.28
573.45	695	0.40
575.40	4673	2.66
576.40	1538	0.88
576.80	673	0.38
577.40	238	0.14
578.65	298	0.17
579.65	4	0.00
580.85	150	0.09
581.30	150	0.09
582.45	591	0.34
583.05	224	0.13
585.05	7	0.00
586.20	1010	0.57
587.45	465	0.26
588.10	6014	3.42
590.40	277	0.16
591.60	802	0.46
592.90	3912	2.23
593.60	696	0.40
595.70	874	0.50
597.10	739	0.42
598.15	107	0.06
599.15	14	0.01
601.05	837	0.48
602.05	261	0.15
603.05	16	0.01
604.40	724	0.41
605.05	939	0.53
606.40	177	0.10
606.80	78	0.04
607.95	1225	0.70
608.95	8	0.00
610.20	58	0.03
611.25	304	0.17
611.70	487	0.28
613.75	380	0.22
614.50	3213	1.83
617.50	187	0.11
619.55	5	0.00
620.45	1156	0.66
621.10	99	0.06
621.90	735	0.42
622.90	649	0.37
624.00	221	0.13
625.40	1044	0.59
626.00	683	0.39
627.35	319	0.18
628.35	273	0.16
629.20	376	0.21
630.20	258	0.15
630.75	1519	0.86
631.90	581	0.33
632.50	293	0.17
633.65	428	0.24
634.35	3325	1.89
635.40	740	0.42
636.30	391	0.22
637.05	443	0.25
640.45	2033	1.16
641.65	620	0.35
642.30	439	0.25
644.25	43	0.02
646.45	135	0.08
648.55	722	0.41
649.25	66	0.04
650.20	761	0.43
651.15	2	0.00
653.15	36	0.02
654.15	12	0.01
655.15	2184	1.24
655.95	27	0.02
656.80	1939	1.10
657.55	1359	0.77
658.55	794	0.45
659.05	373	0.21
659.65	171	0.10
660.80	1128	0.64
661.65	37	0.02
662.40	3562	2.03
663.15	8382	4.77
664.15	3261	1.86
664.65	2081	1.18
665.50	2164	1.23
666.65	71	0.04
667.55	1271	0.72
668.45	2	0.00
669.30	2845	1.62
673.35	232	0.13
676.70	793	0.45
677.50	133	0.08
678.05	164	0.09
680.25	2647	1.51
681.25	2	0.00
682.25	999	0.57
683.50	275	0.16
684.20	1505	0.86
686.30	60	0.03
687.25	109	0.06
688.25	5357	3.05
689.35	1985	1.13
690.25	29549	16.82
691.10	4946	2.82
691.55	3050	1.74
692.45	5332	3.04
693.35	735	0.42
693.90	892	0.51
694.45	1022	0.58
695.15	2086	1.19
696.35	3153	1.79
697.40	839	0.48
698.20	56	0.03
698.60	231	0.13
700.60	377	0.21
702.20	1368	0.78
702.95	341	0.19
703.50	811	0.46
704.25	113	0.06
704.60	420	0.24
706.05	112	0.06
707.30	1108	0.63
708.40	8951	5.10
709.40	4566	2.60
710.90	1139	0.65
712.40	437	0.25
713.45	392	0.22
715.45	554	0.32
716.50	11857	6.75
717.30	3307	1.88
717.85	1320	0.75
718.60	788	0.45
719.85	121	0.07
721.10	721	0.41
723.40	186	0.11
726.50	201	0.11
727.50	222	0.13
728.45	33	0.02
729.40	900	0.51
730.45	19	0.01
731.30	912	0.52
732.35	764	0.43
733.25	799	0.45
734.00	253	0.14
735.05	216	0.12
736.05	1329	0.76
736.95	756	0.43
737.75	3894	2.22
738.45	365	0.21
739.15	1947	1.11
740.50	2746	1.56
741.25	2614	1.49
742.35	1896	1.08
743.15	4320	2.46
744.60	630	0.36
745.75	3593	2.05
747.65	388	0.22
748.45	6	0.00
749.20	302	0.17
750.45	925	0.53
751.45	423	0.24
752.90	867	0.49
754.85	45	0.03
755.85	34	0.02
756.70	1024	0.58
757.40	312	0.18
758.35	77	0.04
759.25	1	0.00
760.20	85	0.05
761.05	27	0.02
761.85	360	0.20
762.90	175	0.10
764.35	1197	0.68
765.35	868	0.49
767.30	60	0.03
767.80	280	0.16
768.85	114	0.06
769.85	3	0.00
770.85	4	0.00
771.85	4	0.00
772.90	340	0.19
775.55	422	0.24
778.25	197	0.11
779.25	32	0.02
780.20	910	0.52
781.15	29	0.02
782.60	2021	1.15
784.25	5256	2.99
785.30	3967	2.26
786.40	1067	0.61
786.90	672	0.38
787.75	862	0.49
789.60	1689	0.96
791.30	1381	0.79
792.15	15	0.01
793.00	737	0.42
794.00	1489	0.85
795.40	321	0.18
798.55	354	0.20
Event	1
