[MS Spectrum]
# of Peaks	661
Raw Spectrum	[6.845],(scan:[2739])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 477,017)
m/z	Absolute Intensity	Relative Intensity
58.65	86	0.02
59.30	409	0.09
60.35	3	0.00
68.75	275	0.06
69.25	1189	0.25
70.25	6	0.00
71.25	1	0.00
74.25	58	0.01
78.15	2876	0.60
79.00	136858	28.69
80.05	3407	0.71
80.95	7168	1.50
81.85	94	0.02
82.65	1853	0.39
83.25	959	0.20
84.15	52	0.01
86.05	17	0.00
87.10	5073	1.06
89.05	8	0.00
90.80	749	0.16
91.85	1	0.00
95.85	2856	0.60
97.85	2	0.00
99.85	1098	0.23
100.30	1299	0.27
101.20	1187	0.25
101.85	259	0.05
104.70	86	0.02
105.20	425	0.09
105.70	445	0.09
106.95	45	0.01
107.35	11	0.00
108.35	4	0.00
110.10	1017	0.21
113.35	155	0.03
114.60	298	0.06
115.50	114	0.02
116.20	295	0.06
119.15	14257	2.99
119.95	404903	84.88
121.15	17594	3.69
121.90	22392	4.69
123.20	1167	0.24
123.75	151	0.03
124.30	636	0.13
125.15	14	0.00
125.90	1449	0.30
126.75	12	0.00
127.55	1838	0.39
128.20	256	0.05
128.75	359	0.08
129.90	51	0.01
130.75	442	0.09
131.65	3	0.00
132.55	82	0.02
134.50	1778	0.37
135.55	4	0.00
136.35	1399	0.29
137.30	138	0.03
138.25	1	0.00
141.25	61	0.01
142.60	471	0.10
143.25	555	0.12
144.15	13	0.00
145.00	437	0.09
146.05	51	0.01
146.90	2356	0.49
147.95	1	0.00
149.40	113	0.02
150.20	218	0.05
150.85	455	0.10
151.85	1242	0.26
152.80	751	0.16
153.85	101	0.02
154.95	333	0.07
155.95	9130	1.91
156.85	477017	100.00
157.95	15435	3.24
158.80	62873	13.18
159.95	2070	0.43
160.85	814	0.17
162.60	145	0.03
163.95	95	0.02
164.75	264	0.06
166.75	33	0.01
168.00	2254	0.47
168.85	305	0.06
169.90	831	0.17
170.75	831	0.17
171.90	1181	0.25
172.75	1136	0.24
173.75	1957	0.41
174.65	96	0.02
175.60	153	0.03
177.55	3	0.00
178.95	242	0.05
179.90	155	0.03
181.95	1014	0.21
183.05	157	0.03
184.55	850	0.18
186.50	447	0.09
187.65	257	0.05
188.10	277	0.06
189.65	99	0.02
190.90	1123	0.24
193.10	1487	0.31
193.80	131	0.03
195.00	3179	0.67
196.05	2776	0.58
196.65	637	0.13
198.05	4832	1.01
199.25	1886	0.40
199.90	1155	0.24
200.95	451	0.09
201.40	169	0.04
201.90	171	0.04
203.00	706	0.15
204.95	31	0.01
205.90	468	0.10
209.75	4	0.00
210.65	463	0.10
211.65	10	0.00
213.65	5	0.00
215.65	3	0.00
216.85	165	0.03
217.95	553	0.12
220.95	15	0.00
223.35	266	0.06
224.10	1230	0.26
225.15	1034	0.22
226.10	734	0.15
227.30	164	0.03
228.15	2110	0.44
231.05	94	0.02
232.05	31	0.01
233.05	12	0.00
234.90	1794	0.38
235.85	16	0.00
237.15	2092	0.44
237.90	279	0.06
238.55	741	0.16
239.00	975	0.20
239.85	1	0.00
240.80	598	0.13
241.20	249	0.05
241.95	266	0.06
242.85	6	0.00
244.10	667	0.14
245.15	264	0.06
246.15	8	0.00
250.45	958	0.20
252.20	353	0.07
253.20	1957	0.41
254.40	152	0.03
255.20	1574	0.33
258.60	524	0.11
259.35	24	0.01
259.80	56	0.01
260.10	40	0.01
261.40	484	0.10
262.35	42	0.01
264.05	886	0.19
265.90	550	0.12
266.45	448	0.09
267.60	155	0.03
268.15	1887	0.40
268.90	1230	0.26
269.75	179	0.04
270.25	291	0.06
271.80	409	0.09
272.90	1759	0.37
274.00	713	0.15
274.50	182	0.04
275.55	656	0.14
276.25	73	0.02
277.05	1862	0.39
278.05	1411	0.30
279.10	10224	2.14
280.00	6952	1.46
281.00	994	0.21
282.25	724	0.15
282.70	561	0.12
283.50	3009	0.63
284.10	1223	0.26
285.45	817	0.17
286.95	1262	0.26
287.95	14	0.00
289.20	514	0.11
