[MS Spectrum]
# of Peaks	616
Raw Spectrum	[6.575],(scan:[2631])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 1,158,014)
m/z	Absolute Intensity	Relative Intensity
422.00	1092	0.09
422.75	303	0.03
425.15	258	0.02
427.15	54	0.00
429.60	485	0.04
430.10	507	0.04
430.95	337	0.03
431.60	203	0.02
432.85	1973	0.17
433.75	294	0.03
434.35	1159	0.10
434.75	988	0.09
435.65	550	0.05
436.35	622	0.05
437.00	77	0.01
438.05	978	0.08
438.65	156	0.01
439.20	201	0.02
439.95	205	0.02
440.50	1085	0.09
441.00	287	0.02
442.95	34	0.00
445.50	630	0.05
446.05	1140	0.10
446.85	354	0.03
447.85	1023	0.09
449.00	588	0.05
449.60	402	0.03
450.65	40	0.00
451.65	2	0.00
452.55	59	0.01
453.40	1332	0.12
455.85	885	0.08
456.90	1753	0.15
457.60	309	0.03
458.35	646	0.06
459.10	79	0.01
459.50	126	0.01
459.90	312	0.03
462.25	94	0.01
463.05	1856	0.16
463.90	36283	3.13
464.85	3760	0.32
466.00	1571	0.14
467.05	15	0.00
468.25	406	0.04
471.05	210	0.02
474.85	10	0.00
475.65	498	0.04
476.35	894	0.08
477.05	158	0.01
479.05	820	0.07
481.05	2	0.00
482.20	906	0.08
482.90	910	0.08
483.85	21	0.00
485.45	1035	0.09
486.50	226	0.02
487.35	256	0.02
488.35	369	0.03
489.45	181	0.02
491.45	10	0.00
494.00	4959	0.43
495.20	2314	0.20
495.75	1099	0.09
497.15	1516	0.13
498.85	535	0.05
499.35	792	0.07
499.95	45	0.00
500.40	337	0.03
501.45	523	0.05
502.45	15	0.00
503.80	329	0.03
505.00	7635	0.66
505.85	1508	0.13
507.15	722	0.06
507.60	144	0.01
508.70	200	0.02
510.45	61	0.01
511.30	265	0.02
512.35	1026	0.09
513.35	1	0.00
514.35	5	0.00
515.40	448	0.04
516.25	186	0.02
517.35	183	0.02
519.25	55	0.00
520.10	1445	0.12
521.05	1634	0.14
521.60	365	0.03
522.40	46	0.00
522.75	98	0.01
523.60	1778	0.15
524.25	1683	0.15
525.00	4714	0.41
525.60	2098	0.18
526.20	3515	0.30
526.65	2315	0.20
527.45	163	0.01
528.35	43	0.00
529.15	649	0.06
530.15	4	0.00
532.30	296	0.03
533.35	34	0.00
535.35	2088	0.18
535.75	1675	0.14
536.40	1952	0.17
538.25	16	0.00
539.25	967	0.08
540.15	9	0.00
541.15	624	0.05
541.90	1070	0.09
542.35	3139	0.27
545.50	236	0.02
547.10	880	0.08
548.95	3514	0.30
549.60	1872	0.16
550.20	6484	0.56
550.70	1593	0.14
551.30	318	0.03
552.30	409	0.04
554.25	39	0.00
556.15	699	0.06
559.15	10	0.00
560.15	1	0.00
561.65	364	0.03
562.65	9	0.00
564.20	893	0.08
565.15	9	0.00
566.15	3	0.00
567.30	1037	0.09
569.25	2	0.00
570.25	1	0.00
572.25	36	0.00
573.25	34	0.00
574.10	446	0.04
575.05	234	0.02
575.75	1999	0.17
576.40	446	0.04
577.00	214	0.02
577.70	343	0.03
578.25	249	0.02
579.25	6	0.00
580.50	542	0.05
581.05	601	0.05
581.55	1465	0.13
582.45	11	0.00
583.25	87	0.01
584.95	1411	0.12
586.95	137	0.01
588.30	642	0.06
589.00	305	0.03
591.05	9	0.00
592.40	1058	0.09
594.65	113	0.01
595.25	611	0.05
596.25	1794	0.15
596.90	2218	0.19
597.80	415	0.04
598.90	209	0.02
601.10	498	0.04
602.95	4	0.00
603.80	135	0.01
605.00	117	0.01
606.10	665	0.06
606.60	113	0.01
607.45	33	0.00
608.05	829	0.07
610.15	9	0.00
610.95	414	0.04
612.50	290	0.03
613.40	271	0.02
614.15	249	0.02
615.15	316	0.03
615.75	137	0.01
616.75	14	0.00
617.55	198	0.02
618.50	488	0.04
620.45	1	0.00
622.45	13	0.00
624.35	2	0.00
625.25	339	0.03
626.25	4	0.00
627.25	34	0.00
629.55	635	0.05
630.55	36	0.00
632.00	1006	0.09
633.30	781	0.07
633.85	339	0.03
634.95	302	0.03
635.70	46	0.00
636.50	579	0.05
638.40	760	0.07
