[MS Spectrum]
# of Peaks	650
Raw Spectrum	[6.577],(scan:[2632])
Background	No Background Spectrum
Base Peak	m/z 58.40 (Inten : 81,662)
m/z	Absolute Intensity	Relative Intensity
54.65	16	0.02
55.65	3114	3.81
56.65	5661	6.93
58.40	81662	100.00
59.15	6152	7.53
60.15	5177	6.34
62.05	12607	15.44
63.45	7547	9.24
64.85	8548	10.47
65.25	2084	2.55
66.30	6812	8.34
67.70	8028	9.83
68.25	2090	2.56
69.50	11600	14.20
70.25	2194	2.69
71.15	2103	2.58
72.05	10744	13.16
72.85	2046	2.51
73.60	5510	6.75
74.65	4293	5.26
75.60	3584	4.39
76.65	5098	6.24
77.45	1447	1.77
78.25	1460	1.79
79.25	8202	10.04
80.05	1361	1.67
81.25	5384	6.59
82.90	5267	6.45
83.45	1224	1.50
84.35	3420	4.19
85.55	3140	3.85
86.85	3367	4.12
87.45	975	1.19
89.20	4254	5.21
89.75	908	1.11
91.05	24590	30.11
92.05	768	0.94
93.30	2193	2.69
94.50	2145	2.63
95.15	484	0.59
96.05	658	0.81
96.80	3065	3.75
98.15	1647	2.02
99.35	2341	2.87
99.95	623	0.76
100.75	894	1.09
101.50	1385	1.70
102.30	1076	1.32
103.90	1771	2.17
104.95	580	0.71
105.65	740	0.91
106.40	1022	1.25
107.15	758	0.93
107.95	395	0.48
108.55	1389	1.70
109.70	1393	1.71
111.00	807	0.99
112.10	775	0.95
112.75	514	0.63
113.75	529	0.65
114.65	1173	1.44
115.50	432	0.53
116.35	3612	4.42
117.25	175	0.21
118.10	1269	1.55
119.05	812	0.99
119.80	408	0.50
120.40	591	0.72
120.95	231	0.28
121.75	987	1.21
122.55	513	0.63
123.30	837	1.02
124.15	219	0.27
124.95	899	1.10
125.55	330	0.40
126.15	538	0.66
126.90	457	0.56
127.80	574	0.70
128.60	220	0.27
129.10	220	0.27
129.70	258	0.32
130.65	1314	1.61
131.75	342	0.42
132.40	211	0.26
133.90	512	0.63
134.65	213	0.26
135.10	114	0.14
135.85	427	0.52
136.70	568	0.70
137.30	221	0.27
138.10	1059	1.30
138.75	259	0.32
139.50	237	0.29
140.10	140	0.17
140.65	1745	2.14
141.05	1005	1.23
142.30	331	0.41
142.80	307	0.38
143.20	102	0.12
144.45	2938	3.60
145.00	1520	1.86
145.65	242	0.30
146.60	107	0.13
147.50	79	0.10
148.00	96	0.12
148.95	365	0.45
149.45	153	0.19
150.15	259	0.32
151.10	492	0.60
151.90	148	0.18
152.65	193	0.24
153.10	66	0.08
