[MS Spectrum]
# of Peaks	655
Raw Spectrum	[7.297],(scan:[2920])
Background	No Background Spectrum
Base Peak	m/z 688.40 (Inten : 51,522)
m/z	Absolute Intensity	Relative Intensity
349.75	17	0.03
351.15	2000	3.88
352.20	652	1.27
353.25	2	0.00
355.00	887	1.72
356.50	565	1.10
356.95	2227	4.32
358.50	1411	2.74
363.85	1232	2.39
364.65	58	0.11
365.40	62	0.12
368.55	1972	3.83
369.00	624	1.21
370.75	1172	2.27
371.65	85	0.16
372.60	631	1.22
375.55	4	0.01
376.55	3	0.01
377.55	11	0.02
379.10	484	0.94
381.05	21	0.04
382.05	1	0.00
384.20	1395	2.71
384.90	1220	2.37
387.85	17	0.03
389.10	2285	4.43
395.05	12	0.02
396.05	11	0.02
396.95	1921	3.73
398.15	3283	6.37
399.15	24	0.05
400.15	12	0.02
401.25	96	0.19
403.05	44	0.09
403.85	1526	2.96
404.40	62	0.12
405.85	2626	5.10
407.70	106	0.21
409.20	4938	9.58
410.65	29	0.06
412.55	50	0.10
413.35	3	0.01
414.10	75	0.15
418.75	445	0.86
419.40	115	0.22
419.70	113	0.22
421.15	103	0.20
422.05	8	0.02
422.85	1658	3.22
424.30	1447	2.81
425.40	70	0.14
425.80	78	0.15
426.75	53	0.10
429.75	46	0.09
430.75	541	1.05
434.00	52	0.10
436.15	337	0.65
436.90	2335	4.53
437.80	58	0.11
438.35	1656	3.21
439.05	1010	1.96
440.10	3147	6.11
440.80	2048	3.98
441.20	721	1.40
443.35	906	1.76
443.85	54	0.10
444.55	731	1.42
446.45	339	0.66
446.90	31	0.06
448.20	465	0.90
449.15	17	0.03
450.15	1	0.00
451.25	5725	11.11
452.00	512	0.99
453.05	917	1.78
453.85	879	1.71
454.60	1058	2.05
455.55	5	0.01
457.00	1047	2.03
458.60	90	0.17
459.15	808	1.57
459.95	31	0.06
460.75	1273	2.47
461.75	131	0.25
463.25	1253	2.43
464.25	2	0.00
465.25	3100	6.02
466.25	63	0.12
468.25	7	0.01
469.25	9	0.02
470.25	6	0.01
471.25	5	0.01
472.25	27	0.05
473.30	700	1.36
474.35	54	0.10
475.15	34	0.07
475.95	1210	2.35
476.95	85	0.16
477.95	3	0.01
479.85	7	0.01
480.70	63	0.12
482.75	13	0.03
483.75	1	0.00
485.75	30	0.06
488.90	744	1.44
490.40	2130	4.13
491.95	768	1.49
493.30	1002	1.94
495.25	14	0.03
496.25	20	0.04
499.25	381	0.74
500.25	6	0.01
502.40	34	0.07
503.10	494	0.96
505.30	4064	7.89
507.30	579	1.12
508.95	581	1.13
510.95	1	0.00
512.95	2192	4.25
513.95	4	0.01
516.00	62	0.12
517.05	123	0.24
519.05	3	0.01
519.95	38	0.07
523.20	122	0.24
523.65	143	0.28
526.10	14200	27.56
527.00	8100	15.72
528.10	13265	25.75
529.15	1002	1.94
532.15	27	0.05
533.15	12	0.02
535.15	56	0.11
536.15	5	0.01
538.40	89	0.17
539.35	13	0.03
540.35	59	0.11
541.35	17	0.03
542.90	1949	3.78
543.85	24	0.05
545.85	28	0.05
548.85	72	0.14
550.30	87	0.17
551.25	23	0.04
552.05	2426	4.71
552.45	434	0.84
553.35	12	0.02
554.15	526	1.02
555.60	1693	3.29
556.35	72	0.14
557.20	1168	2.27
558.45	341	0.66
559.85	1320	2.56
560.85	1	0.00
562.40	595	1.15
563.35	17	0.03
564.35	14	0.03
565.35	60	0.12
566.35	26	0.05
568.35	49	0.10
569.35	23	0.04
570.35	1	0.00
571.35	4	0.01
572.35	20	0.04
574.35	46	0.09
575.35	81	0.16
576.25	4	0.01
577.00	92	0.18
578.05	2	0.00
579.05	1	0.00
580.05	17	0.03
581.05	13	0.03
582.05	39	0.08
583.50	216	0.42
584.80	1760	3.42
585.85	17	0.03
587.85	26	0.05
589.40	667	1.29
590.35	38	0.07
591.35	6	0.01
592.15	1	0.00
592.95	1554	3.02
593.95	13	0.03
594.95	15	0.03
597.00	1582	3.07
597.55	480	0.93
598.45	12	0.02
599.35	183	0.36
600.45	896	1.74
601.45	10	0.02
602.35	19	0.04
603.30	909	1.76
604.25	46	0.09
605.25	178	0.35
605.80	896	1.74
608.75	7	0.01
609.55	63	0.12
610.65	26	0.05
611.65	6	0.01
613.65	3	0.01
614.50	303	0.59
616.10	1358	2.64
617.25	1017	1.97
618.90	2213	4.30
619.85	1	0.00
620.85	3	0.01
623.15	909	1.76
624.15	1081	2.10
625.15	10	0.02
627.80	604	1.17
629.80	17	0.03
631.15	1138	2.21
632.15	2	0.00
633.15	13	0.03
635.15	2	0.00
639.95	97	0.19
640.95	1	0.00
641.90	1069	2.07
642.85	5	0.01
643.85	8	0.02
644.85	31	0.06
646.05	1058	2.05
649.05	15	0.03
650.05	13	0.03
651.05	91	0.18
653.05	13	0.03
654.05	29	0.06
655.25	256	0.50
656.25	11	0.02
658.55	629	1.22
660.25	990	1.92
661.75	6489	12.59
664.10	130	0.25
666.15	10	0.02
667.15	36	0.07
668.50	89	0.17
669.40	1521	2.95
670.35	5	0.01
672.35	10	0.02
673.35	7	0.01
674.40	753	1.46
675.25	303	0.59
676.25	8	0.02
677.25	40	0.08
679.15	41	0.08
680.05	620	1.20
680.80	545	1.06
681.50	684	1.33
682.85	454	0.88
683.85	67	0.13
684.85	15	0.03
686.30	1051	2.04
687.10	1545	3.00
688.40	51522	100.00
689.50	18646	36.19
690.35	1828	3.55
691.45	1980	3.84
692.25	1	0.00
693.10	1774	3.44
694.05	1017	1.97
694.95	6	0.01
696.20	158	0.31
698.95	907	1.76
699.85	4282	8.31
700.70	1552	3.01
701.55	2381	4.62
702.55	16	0.03
703.55	14	0.03
705.05	1478	2.87
705.45	1615	3.13
706.00	3622	7.03
706.75	112	0.22
707.75	37	0.07
708.65	2	0.00
709.50	2791	5.42
710.00	1932	3.75
710.40	274	0.53
711.55	16	0.03
712.55	12	0.02
713.55	582	1.13
714.45	17137	33.26
715.55	4406	8.55
716.10	1758	3.41
716.65	1321	2.56
717.00	579	1.12
717.95	16	0.03
718.95	3	0.01
719.95	34	0.07
720.80	3376	6.55
722.85	2	0.00
723.85	7	0.01
724.85	4	0.01
725.85	65	0.13
726.85	61	0.12
728.85	7	0.01
729.75	63	0.12
730.70	132	0.26
731.70	556	1.08
733.75	658	1.28
734.75	19	0.04
735.75	24	0.05
737.75	35	0.07
739.75	29	0.06
740.75	17	0.03
741.75	1	0.00
742.85	946	1.84
743.85	46	0.09
744.65	52	0.10
745.50	1439	2.79
746.25	9	0.02
747.05	422	0.82
748.15	387	0.75
748.65	832	1.61
749.10	71	0.14
749.70	147	0.29
750.85	254	0.49
751.85	55	0.11
753.85	55	0.11
755.95	2196	4.26
756.95	2	0.00
757.95	1088	2.11
758.95	44	0.09
759.95	3183	6.18
760.55	768	1.49
761.80	461	0.89
762.85	22	0.04
763.85	40	0.08
766.00	536	1.04
766.95	5	0.01
767.95	15	0.03
768.95	8	0.02
770.45	892	1.73
771.45	21	0.04
775.45	19	0.04
776.45	9	0.02
777.45	39	0.08
779.45	74	0.14
781.85	105	0.20
782.40	61	0.12
782.85	50	0.10
784.00	149	0.29
785.45	5053	9.81
786.45	1	0.00
787.35	83	0.16
788.25	7348	14.26
789.45	1833	3.56
790.45	87	0.17
791.60	163	0.32
794.65	32	0.06
795.65	11	0.02
796.65	32	0.06
798.15	784	1.52
799.30	1043	2.02
Event	2
