[MS Spectrum]
# of Peaks	508
Raw Spectrum	[6.340],(scan:[2537])
Background	No Background Spectrum
Base Peak	m/z 83.05 (Inten : 220,758)
m/z	Absolute Intensity	Relative Intensity
454.95	585	0.26
455.50	1568	0.71
456.45	63	0.03
457.35	7	0.00
458.15	811	0.37
460.20	925	0.42
461.15	5	0.00
463.05	362	0.16
464.05	5	0.00
465.95	8	0.00
466.75	306	0.14
467.65	5	0.00
468.60	430	0.19
470.55	92	0.04
470.95	572	0.26
471.95	18	0.01
472.95	19	0.01
473.95	36	0.02
475.00	337	0.15
475.75	590	0.27
478.75	20	0.01
479.75	6	0.00
481.65	33	0.01
482.50	148	0.07
484.10	559	0.25
485.05	7	0.00
486.05	55	0.02
487.15	775	0.35
488.15	5	0.00
489.20	282	0.13
491.15	4	0.00
494.05	9	0.00
494.85	91	0.04
495.35	115	0.05
496.55	379	0.17
496.95	270	0.12
497.95	59	0.03
498.95	6	0.00
499.90	410	0.19
502.50	207	0.09
503.55	5	0.00
505.55	14	0.01
507.45	3	0.00
508.40	1016	0.46
510.65	51	0.02
512.00	89	0.04
514.95	8	0.00
516.95	85	0.04
518.50	162	0.07
519.20	1591	0.72
520.60	238	0.11
522.40	84	0.04
524.35	348	0.16
526.35	9	0.00
528.55	1191	0.54
529.20	123	0.06
532.25	1	0.00
535.30	194	0.09
538.35	6	0.00
540.35	2	0.00
541.35	509	0.23
542.35	211	0.10
544.95	646	0.29
546.20	510	0.23
548.20	619	0.28
548.90	548	0.25
550.95	10	0.00
553.05	356	0.16
555.05	6	0.00
557.05	69	0.03
560.55	228	0.10
561.45	5	0.00
564.00	785	0.36
565.05	1425	0.65
566.55	337	0.15
567.40	535	0.24
568.35	60	0.03
569.85	128	0.06
570.65	29	0.01
571.40	515	0.23
573.45	7	0.00
574.45	28	0.01
575.40	801	0.36
576.35	2	0.00
577.25	252	0.11
579.40	416	0.19
581.45	4	0.00
582.95	132	0.06
583.80	219	0.10
584.85	10	0.00
585.85	5	0.00
587.70	141	0.06
591.65	2	0.00
592.95	477	0.22
597.95	13	0.01
600.05	36	0.02
601.05	7	0.00
602.05	230	0.10
