[MS Spectrum]
# of Peaks	562
Raw Spectrum	[9.087],(scan:[3636])
Background	No Background Spectrum
Base Peak	m/z 53.55 (Inten : 47,428)
m/z	Absolute Intensity	Relative Intensity
384.80	2427	5.12
386.00	2281	4.81
387.95	13	0.03
388.95	7	0.01
389.95	1	0.00
392.50	46	0.10
393.85	1773	3.74
394.60	399	0.84
395.90	593	1.25
396.85	27615	58.23
397.85	9051	19.08
398.90	29536	62.28
399.90	3845	8.11
401.00	1958	4.13
401.95	6	0.01
403.95	6	0.01
404.95	65	0.14
405.95	4	0.01
406.95	18	0.04
408.95	18	0.04
413.95	11	0.02
414.95	3	0.01
416.00	743	1.57
416.50	47	0.10
417.05	472	1.00
418.05	16	0.03
423.25	10373	21.87
424.10	778	1.64
425.10	2439	5.14
426.15	1	0.00
427.40	76	0.16
428.35	12	0.03
430.50	830	1.75
431.45	2	0.00
432.45	20	0.04
435.45	13	0.03
437.15	1792	3.78
437.80	452	0.95
439.30	1383	2.92
440.25	2	0.00
441.05	6883	14.51
442.20	341	0.72
443.10	3604	7.60
445.30	2001	4.22
447.00	1562	3.29
447.95	14	0.03
448.95	5	0.01
449.95	12	0.03
451.10	6082	12.82
451.95	4	0.01
452.85	1558	3.28
453.85	26	0.05
454.85	1689	3.56
455.85	26	0.05
457.85	4	0.01
458.85	15	0.03
460.85	4	0.01
463.75	12	0.03
464.70	1077	2.27
465.65	1	0.00
466.45	1	0.00
467.30	1484	3.13
469.00	608	1.28
470.05	1229	2.59
474.15	13	0.03
476.15	21	0.04
477.15	24	0.05
479.15	1	0.00
480.05	3	0.01
480.95	153	0.32
481.75	759	1.60
482.75	32	0.07
484.75	30	0.06
487.75	2	0.00
488.75	526	1.11
489.55	9	0.02
490.35	372	0.78
491.00	1652	3.48
491.95	4	0.01
492.85	895	1.89
494.20	869	1.83
494.75	884	1.86
495.20	44	0.09
495.90	1761	3.71
496.85	7016	14.79
498.00	6662	14.05
498.55	8545	18.02
499.00	9165	19.32
499.85	3551	7.49
500.70	46	0.10
501.05	29	0.06
502.05	12	0.03
504.10	2014	4.25
504.90	702	1.48
505.85	29	0.06
506.85	25	0.05
507.75	2259	4.76
509.75	5	0.01
510.75	10	0.02
512.75	22	0.05
513.75	11	0.02
515.75	1	0.00
517.00	534	1.13
518.95	2	0.00
521.95	18	0.04
523.30	5775	12.18
524.25	40	0.08
526.30	103	0.22
528.15	3	0.01
529.10	37	0.08
531.05	26	0.05
534.05	44	0.09
535.05	51	0.11
536.05	17	0.04
537.20	392	0.83
538.50	31	0.07
539.45	1	0.00
540.45	59	0.12
541.45	21	0.04
542.45	1	0.00
543.45	4	0.01
546.45	2	0.00
549.45	1	0.00
550.45	21	0.04
555.45	1	0.00
557.45	1	0.00
558.45	4	0.01
566.45	3	0.01
567.45	5	0.01
571.45	10	0.02
574.45	13	0.03
575.45	1	0.00
576.45	5	0.01
578.20	310	0.65
579.15	12	0.03
580.15	27	0.06
581.15	5	0.01
582.15	24	0.05
583.15	22	0.05
588.15	7	0.01
589.15	18	0.04
590.45	110	0.23
590.75	47	0.10
592.85	3198	6.74
593.35	2615	5.51
594.05	235	0.50
595.05	10	0.02
597.70	751	1.58
599.75	27	0.06
600.75	2	0.00
604.10	990	2.09
606.05	121	0.26
609.30	526	1.11
610.25	8	0.02
614.25	1	0.00
616.60	63	0.13
618.70	76	0.16
627.60	58	0.12
634.55	36	0.08
637.55	6	0.01
642.50	183	0.39
647.55	25	0.05
648.55	3	0.01
649.55	24	0.05
653.55	23	0.05
656.55	59	0.12
660.55	1	0.00
662.45	11	0.02
663.25	760	1.60
664.25	21	0.04
666.25	15	0.03
667.15	2238	4.72
670.15	26	0.05
672.15	751	1.58
673.35	895	1.89
674.75	1043	2.20
675.75	19	0.04
676.75	32	0.07
677.75	5	0.01
678.75	19	0.04
684.05	935	1.97
686.95	15	0.03
687.95	6516	13.74
688.45	1817	3.83
689.45	1115	2.35
689.95	441	0.93
690.95	1	0.00
691.95	59	0.12
693.45	1070	2.26
694.45	7	0.01
697.00	909	1.92
702.95	36	0.08
703.95	24	0.05
705.95	3	0.01
706.95	5	0.01
707.95	29	0.06
709.95	2	0.00
710.95	20	0.04
711.95	12	0.03
713.95	11	0.02
715.45	488	1.03
716.45	4	0.01
718.30	64	0.13
718.70	63	0.13
719.75	13	0.03
724.75	42	0.09
727.25	1637	3.45
728.25	4	0.01
729.25	23	0.05
730.25	26	0.05
731.30	726	1.53
731.80	152	0.32
734.00	64	0.13
735.95	4	0.01
736.95	13	0.03
737.95	16	0.03
738.95	14	0.03
739.95	8	0.02
740.95	27	0.06
742.20	91	0.19
742.95	149	0.31
743.85	30	0.06
744.75	3778	7.97
749.80	499	1.05
750.85	42	0.09
752.15	2308	4.87
752.95	866	1.83
753.75	1554	3.28
755.75	5	0.01
757.75	13	0.03
758.75	9	0.02
759.75	27	0.06
763.75	4	0.01
764.75	28	0.06
765.75	32	0.07
766.75	3	0.01
768.40	501	1.06
769.45	37	0.08
770.45	11	0.02
771.45	5	0.01
772.45	69	0.15
776.25	1087	2.29
777.25	13	0.03
778.25	419	0.88
781.25	8	0.02
784.25	32	0.07
786.25	25	0.05
787.25	6	0.01
788.25	15	0.03
789.25	3	0.01
790.25	28	0.06
793.25	1	0.00
794.15	549	1.16
795.15	19255	40.60
795.95	4511	9.51
796.85	35359	74.55
797.95	18099	38.16
798.90	33113	69.82
799.60	2980	6.28
Event	2
