[MS Spectrum]
# of Peaks	590
Raw Spectrum	[9.085],(scan:[3635])
Background	No Background Spectrum
Base Peak	m/z 399.80 (Inten : 15,897)
m/z	Absolute Intensity	Relative Intensity
466.35	395	2.48
467.75	151	0.95
469.80	1037	6.52
471.10	339	2.13
471.95	67	0.42
474.95	14	0.09
476.60	632	3.98
477.50	326	2.05
477.95	124	0.78
479.10	177	1.11
480.25	842	5.30
480.65	101	0.64
482.00	616	3.87
483.45	577	3.63
484.45	34	0.21
485.45	23	0.14
488.95	442	2.78
491.15	951	5.98
493.15	16	0.10
494.15	3	0.02
496.40	280	1.76
497.45	22	0.14
498.45	13	0.08
499.45	2	0.01
500.45	48	0.30
501.25	11	0.07
502.10	681	4.28
503.25	109	0.69
504.30	1859	11.69
504.95	423	2.66
506.30	9694	60.98
507.25	8427	53.01
508.30	945	5.94
509.25	13	0.08
511.25	82	0.52
512.35	546	3.43
513.35	10	0.06
514.25	2	0.01
515.20	387	2.43
517.15	56	0.35
518.05	959	6.03
519.60	691	4.35
520.35	124	0.78
521.30	645	4.06
523.25	2	0.01
524.15	271	1.70
526.35	1002	6.30
527.60	2065	12.99
528.60	491	3.09
529.40	119	0.75
530.25	199	1.25
530.75	501	3.15
531.65	673	4.23
534.30	576	3.62
535.15	132	0.83
535.60	1188	7.47
536.35	718	4.52
538.00	483	3.04
538.95	35	0.22
540.25	836	5.26
542.25	3	0.02
544.30	252	1.59
545.35	2	0.01
546.35	2	0.01
547.45	983	6.18
548.40	435	2.74
549.10	1552	9.76
550.25	1580	9.94
551.45	3676	23.12
552.50	677	4.26
553.10	819	5.15
556.10	93	0.59
557.05	259	1.63
558.50	1089	6.85
559.45	7	0.04
560.45	14	0.09
561.45	85	0.53
563.45	15	0.09
565.80	234	1.47
566.50	367	2.31
568.00	198	1.25
569.30	1358	8.54
570.25	311	1.96
570.65	258	1.62
571.80	66	0.42
573.10	260	1.64
574.20	282	1.77
574.55	233	1.47
575.40	650	4.09
577.35	163	1.03
578.35	16	0.10
579.30	617	3.88
580.65	291	1.83
581.65	54	0.34
582.85	213	1.34
583.30	561	3.53
584.40	405	2.55
587.45	24	0.15
588.50	685	4.31
589.05	631	3.97
592.50	382	2.40
593.35	5	0.03
594.10	701	4.41
594.60	592	3.72
595.30	252	1.59
595.90	134	0.84
597.10	336	2.11
598.05	77	0.48
599.50	6838	43.01
601.25	139	0.87
602.40	239	1.50
603.45	12	0.08
604.35	43	0.27
605.20	56	0.35
605.65	80	0.50
606.90	564	3.55
608.50	710	4.47
609.00	55	0.35
610.15	374	2.35
610.90	305	1.92
611.60	383	2.41
613.40	157	0.99
613.85	707	4.45
614.55	1522	9.57
615.25	16	0.10
616.00	445	2.80
617.30	101	0.64
617.85	101	0.64
622.10	441	2.77
623.20	1592	10.01
624.20	831	5.23
625.05	8	0.05
626.80	764	4.81
628.35	717	4.51
629.25	46	0.29
631.20	392	2.47
632.25	1158	7.28
634.15	973	6.12
634.90	307	1.93
635.60	427	2.69
636.65	1	0.01
637.65	2	0.01
639.65	2	0.01
642.95	932	5.86
644.30	218	1.37
644.95	784	4.93
645.95	1	0.01
647.20	122	0.77
649.95	5	0.03
650.80	143	0.90
652.05	941	5.92
653.15	3	0.02
655.45	540	3.40
658.35	1987	12.50
659.45	2	0.01
660.45	45	0.28
661.50	457	2.87
662.35	639	4.02
663.35	10393	65.38
664.15	6325	39.79
665.40	1526	9.60
666.05	636	4.00
666.95	80	0.50
667.95	17	0.11
669.05	71	0.45
670.20	751	4.72
671.25	56	0.35
673.25	1	0.01
674.15	477	3.00
675.05	50	0.31
675.85	3321	20.89
676.65	134	0.84
677.40	1568	9.86
678.45	735	4.62
679.60	49	0.31
680.35	2417	15.20
681.05	1388	8.73
681.70	658	4.14
682.55	5	0.03
683.50	917	5.77
685.25	4	0.03
686.00	881	5.54
686.85	37	0.23
687.70	52	0.33
688.25	65	0.41
689.05	880	5.54
690.25	7435	46.77
691.30	8261	51.97
692.65	375	2.36
693.20	106	0.67
694.25	2448	15.40
695.05	102	0.64
696.00	883	5.55
696.40	243	1.53
698.30	1747	10.99
701.35	188	1.18
702.25	16	0.10
703.20	766	4.82
703.80	368	2.31
704.50	1702	10.71
705.45	5	0.03
707.45	1671	10.51
708.55	12389	77.93
709.45	9804	61.67
710.35	188	1.18
711.15	287	1.81
712.00	4482	28.19
713.05	2503	15.75
714.40	917	5.77
715.55	425	2.67
716.60	2707	17.03
717.40	176	1.11
718.40	894	5.62
719.35	1464	9.21
719.95	46	0.29
721.20	453	2.85
722.75	84	0.53
724.20	870	5.47
724.90	511	3.21
726.00	892	5.61
726.55	87	0.55
727.35	11	0.07
728.15	2059	12.95
730.25	132	0.83
731.15	4	0.03
732.00	436	2.74
732.40	613	3.86
