[MS Spectrum]
# of Peaks	789
Raw Spectrum	[9.040],(scan:[3617])
Background	No Background Spectrum
Base Peak	m/z 353.90 (Inten : 31,251)
m/z	Absolute Intensity	Relative Intensity
370.55	9	0.03
371.30	796	2.55
373.15	852	2.73
374.35	238	0.76
375.55	360	1.15
376.90	303	0.97
377.40	81	0.26
378.30	1638	5.24
379.25	1353	4.33
379.80	302	0.97
380.50	1548	4.95
381.05	1442	4.61
381.90	1187	3.80
384.10	469	1.50
385.30	45	0.14
386.30	110	0.35
387.40	410	1.31
387.95	1461	4.68
389.30	235	0.75
390.25	24	0.08
391.25	2700	8.64
391.85	1198	3.83
392.90	322	1.03
393.25	64	0.20
394.05	1071	3.43
395.05	140	0.45
395.80	1326	4.24
397.00	953	3.05
398.05	933	2.99
399.45	995	3.18
400.50	2169	6.94
401.60	637	2.04
402.25	421	1.35
402.80	104	0.33
405.05	444	1.42
405.55	66	0.21
406.15	703	2.25
407.00	1851	5.92
408.20	1460	4.67
410.25	2492	7.97
410.90	590	1.89
411.90	340	1.09
412.75	1359	4.35
413.60	854	2.73
414.05	444	1.42
415.05	10	0.03
415.85	8	0.03
416.70	1790	5.73
417.50	1196	3.83
417.95	647	2.07
418.90	287	0.92
420.80	922	2.95
422.20	904	2.89
423.55	529	1.69
424.30	2654	8.49
424.85	2595	8.30
425.35	1408	4.51
426.20	2996	9.59
427.00	577	1.85
428.35	577	1.85
429.35	10	0.03
430.25	22	0.07
431.10	3622	11.59
432.20	2261	7.23
432.90	1610	5.15
433.55	1046	3.35
434.00	1193	3.82
434.55	1772	5.67
435.10	2995	9.58
436.10	4540	14.53
436.90	673	2.15
437.45	1594	5.10
437.95	646	2.07
438.50	1447	4.63
439.10	1231	3.94
440.10	3841	12.29
441.30	654	2.09
442.25	522	1.67
444.55	1084	3.47
445.10	208	0.67
446.25	719	2.30
447.95	1033	3.31
448.30	244	0.78
449.35	1067	3.41
450.70	551	1.76
452.45	3346	10.71
453.30	433	1.39
454.20	389	1.24
454.95	624	2.00
455.60	1016	3.25
456.35	357	1.14
457.20	3976	12.72
458.45	2554	8.17
459.55	1563	5.00
461.15	2519	8.06
462.50	257	0.82
463.40	1021	3.27
463.85	440	1.41
464.40	339	1.08
465.55	802	2.57
466.80	1293	4.14
467.70	2713	8.68
468.25	2057	6.58
469.15	1883	6.03
470.50	1470	4.70
471.35	569	1.82
472.10	219	0.70
473.05	3054	9.77
474.30	1189	3.80
475.40	4811	15.39
475.95	1630	5.22
477.50	1323	4.23
478.25	1083	3.47
479.25	1818	5.82
480.00	595	1.90
481.00	130	0.42
481.50	715	2.29
482.10	1528	4.89
482.75	2908	9.31
483.10	1828	5.85
484.30	1729	5.53
485.20	740	2.37
486.30	413	1.32
487.20	148	0.47
487.80	769	2.46
488.20	289	0.92
489.15	1842	5.89
490.50	416	1.33
491.15	1993	6.38
492.30	1045	3.34
493.20	1155	3.70
494.05	3005	9.62
495.30	2156	6.90
496.40	1453	4.65
497.20	353	1.13
498.25	1443	4.62
499.25	155	0.50
500.25	5061	16.19
500.80	2293	7.34
501.40	4327	13.85
502.20	8480	27.14
503.20	4349	13.92
503.70	3212	10.28
504.25	3778	12.09
504.70	1467	4.69
505.15	4088	13.08
506.30	3018	9.66
507.20	1459	4.67
507.90	1004	3.21
509.50	442	1.41
510.20	981	3.14
511.60	888	2.84
512.30	959	3.07
513.40	1855	5.94
514.25	724	2.32
514.65	515	1.65
515.30	445	1.42
516.00	3955	12.66
517.25	3508	11.23
518.10	5068	16.22
519.45	8190	26.21
520.30	4799	15.36
520.95	701	2.24
522.20	3759	12.03
524.25	2071	6.63
525.25	528	1.69
525.80	1296	4.15
526.75	33	0.11
528.50	79	0.25
529.35	383	1.23
529.95	941	3.01
531.20	1491	4.77
531.65	481	1.54
532.20	1848	5.91
532.60	1019	3.26
533.30	3868	12.38
534.45	780	2.50
535.60	928	2.97
536.65	2235	7.15
537.40	236	0.76
537.95	2204	7.05
538.60	694	2.22
539.30	1954	6.25
540.15	3406	10.90
541.60	2359	7.55
542.15	2671	8.55
542.60	2576	8.24
543.70	190	0.61
544.35	115	0.37
544.85	873	2.79
545.30	1418	4.54
545.90	1472	4.71
546.35	1087	3.48
