[MS Spectrum]
# of Peaks	660
Raw Spectrum	[9.042],(scan:[3618])
Background	No Background Spectrum
Base Peak	m/z 352.85 (Inten : 99,993)
m/z	Absolute Intensity	Relative Intensity
340.45	223	0.22
341.10	2054	2.05
342.05	425	0.43
342.95	520	0.52
343.55	370	0.37
343.95	320	0.32
344.95	41	0.04
345.95	4	0.00
346.95	56	0.06
348.05	3918	3.92
349.05	122	0.12
349.95	3292	3.29
350.95	75	0.08
351.95	769	0.77
352.85	99993	100.00
353.65	25040	25.04
354.85	47587	47.59
355.80	7390	7.39
356.55	3948	3.95
357.90	2724	2.72
358.65	2075	2.08
359.65	7	0.01
360.65	48	0.05
361.65	76	0.08
362.65	20	0.02
363.65	44	0.04
364.65	35	0.04
365.65	29	0.03
366.65	9	0.01
367.65	30	0.03
369.30	2281	2.28
370.25	16	0.02
371.25	12	0.01
372.20	2266	2.27
373.15	8	0.01
374.15	7	0.01
375.15	15	0.02
378.55	616	0.62
379.15	3103	3.10
380.15	34	0.03
381.00	3577	3.58
382.25	636	0.64
383.25	2	0.00
384.25	71	0.07
385.25	10	0.01
386.25	4	0.00
387.25	11	0.01
388.25	19	0.02
389.25	15	0.02
390.25	11	0.01
391.25	16	0.02
392.25	16	0.02
393.25	40	0.04
395.50	4726	4.73
396.80	7498	7.50
398.00	2502	2.50
398.75	4363	4.36
399.15	921	0.92
401.15	24	0.02
402.20	135	0.14
402.50	168	0.17
403.55	47	0.05
404.55	15	0.02
405.55	4	0.00
407.05	1420	1.42
407.95	3015	3.02
408.35	2584	2.58
409.65	34230	34.23
410.55	11	0.01
411.40	3258	3.26
412.45	3	0.00
414.45	58	0.06
415.45	51	0.05
416.45	14	0.01
418.45	1	0.00
420.35	558	0.56
421.15	21338	21.34
422.15	243	0.24
423.05	31719	31.72
424.00	7943	7.94
425.35	927	0.93
426.05	2209	2.21
426.50	473	0.47
429.10	1222	1.22
430.05	14	0.01
432.40	89	0.09
433.40	2311	2.31
433.95	55	0.06
434.95	80	0.08
435.95	1	0.00
437.20	9477	9.48
438.10	42	0.04
439.15	2329	2.33
439.55	1641	1.64
440.35	539	0.54
441.15	30931	30.93
442.20	6904	6.90
443.15	12331	12.33
444.50	1781	1.78
447.15	1716	1.72
448.60	1869	1.87
449.05	1374	1.37
450.05	642	0.64
451.15	17175	17.18
452.85	45847	45.85
453.70	26621	26.62
454.80	21185	21.19
457.05	2457	2.46
458.05	17	0.02
459.05	4	0.00
460.05	19	0.02
461.15	467	0.47
464.15	4	0.00
465.35	120	0.12
466.25	10	0.01
467.10	160	0.16
468.25	87	0.09
468.95	2479	2.48
469.95	15	0.02
472.05	496	0.50
473.10	3162	3.16
474.05	327	0.33
474.55	56	0.06
475.55	33	0.03
476.45	1	0.00
477.30	1324	1.32
478.15	4	0.00
478.90	1298	1.30
479.95	2052	2.05
481.60	126	0.13
483.45	27	0.03
484.45	3	0.00
485.30	927	0.93
488.10	37	0.04
489.30	55	0.06
490.25	1	0.00
491.10	4766	4.77
492.25	6356	6.36
493.45	4293	4.29
494.00	1657	1.66
494.85	1	0.00
495.60	1828	1.83
496.65	9	0.01
497.65	28	0.03
498.55	614	0.61
499.00	836	0.84
499.85	186	0.19
500.85	24	0.02
501.85	7	0.01
502.85	7	0.01
503.85	5	0.01
505.05	521	0.52
506.25	205	0.21
509.15	3	0.00
510.00	71	0.07
511.40	360	0.36
513.35	605	0.61
514.35	15	0.02
515.40	71	0.07
517.40	394	0.39
518.80	1159	1.16
519.75	24	0.02
521.40	2411	2.41
522.35	34	0.03
524.35	14	0.01
525.25	4495	4.50
526.15	103	0.10
526.95	10648	10.65
527.95	1360	1.36
528.45	956	0.96
529.15	4738	4.74
530.05	18	0.02
530.95	2613	2.61
532.35	4352	4.35
533.25	5	0.01
534.05	177	0.18
535.05	10	0.01
539.05	11	0.01
541.05	28	0.03
542.05	4	0.00
546.05	1	0.00
547.05	2	0.00
548.05	42	0.04
549.05	17	0.02
550.70	1223	1.22
551.65	26	0.03
552.65	24	0.02
554.40	1729	1.73
555.10	1056	1.06
557.00	1528	1.53
557.95	25	0.03
559.95	17	0.02
562.95	6	0.01
563.95	3	0.00
566.25	2966	2.97
568.60	48	0.05
571.55	8	0.01
573.35	1591	1.59
574.25	12	0.01
575.15	2389	2.39
577.15	12	0.01
580.15	2	0.00
582.15	1	0.00
585.15	4	0.00
