[MS Spectrum]
# of Peaks	681
Raw Spectrum	[7.035],(scan:[2815])
Background	No Background Spectrum
Base Peak	m/z 156.85 (Inten : 460,088)
m/z	Absolute Intensity	Relative Intensity
386.85	62	0.01
388.60	278	0.06
388.95	247	0.05
390.05	2597	0.56
391.00	1076	0.23
391.85	57	0.01
392.75	496	0.11
393.25	260	0.06
393.95	1045	0.23
394.75	417	0.09
395.75	541	0.12
398.20	974	0.21
398.80	366	0.08
399.35	708	0.15
400.15	14	0.00
401.00	813	0.18
401.95	22	0.00
402.95	7	0.00
404.95	3079	0.67
407.00	1206	0.26
408.15	122	0.03
408.65	188	0.04
409.25	93	0.02
409.60	421	0.09
410.65	35	0.01
412.65	10	0.00
413.65	487	0.11
415.00	33020	7.18
416.10	3552	0.77
416.80	1332	0.29
417.30	1101	0.24
418.25	5	0.00
419.10	313	0.07
419.50	447	0.10
420.00	112	0.02
421.05	1361	0.30
422.10	772	0.17
423.10	1484	0.32
424.15	10	0.00
426.50	1098	0.24
427.55	109	0.02
428.80	257	0.06
429.25	439	0.10
430.25	11	0.00
431.25	1925	0.42
432.20	14680	3.19
432.95	6553	1.42
433.75	153	0.03
435.20	3178	0.69
436.50	197	0.04
437.20	1644	0.36
438.55	485	0.11
439.35	967	0.21
440.25	8	0.00
441.20	487	0.11
442.65	1644	0.36
444.65	34	0.01
446.15	52364	11.38
447.40	9202	2.00
448.10	2214	0.48
448.95	654	0.14
449.95	90	0.02
451.05	203	0.04
452.35	203	0.04
453.05	727	0.16
454.05	16	0.00
455.00	745	0.16
455.95	47	0.01
457.05	533	0.12
458.00	2070	0.45
458.80	940	0.20
460.05	58529	12.72
460.95	13219	2.87
462.05	977	0.21
463.30	1231	0.27
464.10	15748	3.42
465.05	2617	0.57
466.05	1935	0.42
468.05	16	0.00
469.05	10	0.00
470.05	8	0.00
470.95	68	0.01
471.90	290	0.06
472.40	167	0.04
473.15	2121	0.46
474.15	3	0.00
475.15	72	0.02
476.20	926	0.20
477.15	2566	0.56
477.80	1234	0.27
478.30	84	0.02
478.95	554	0.12
480.05	124	0.03
482.20	895	0.19
483.10	5779	1.26
484.15	829	0.18
485.50	125	0.03
487.25	78	0.02
488.05	1659	0.36
488.95	130	0.03
491.50	145	0.03
493.70	2673	0.58
494.50	815	0.18
496.05	1356	0.29
496.95	16	0.00
498.05	249	0.05
499.05	26	0.01
499.95	39	0.01
501.05	2240	0.49
502.05	3435	0.75
503.00	1576	0.34
503.40	854	0.19
504.25	10	0.00
505.00	2924	0.64
505.65	2089	0.45
506.25	531	0.12
506.90	52	0.01
507.85	5	0.00
509.30	1886	0.41
510.25	19	0.00
511.65	2402	0.52
512.25	252	0.05
512.95	1360	0.30
513.95	103	0.02
514.45	139	0.03
515.50	794	0.17
516.05	411	0.09
516.60	686	0.15
517.55	55	0.01
520.90	196	0.04
521.75	3047	0.66
522.15	2383	0.52
522.65	531	0.12
523.85	387	0.08
524.35	289	0.06
525.25	30	0.01
526.05	202	0.04
526.40	97	0.02
526.95	333	0.07
528.20	2317	0.50
529.15	16	0.00
530.15	2	0.00
533.00	39	0.01
533.50	134	0.03
534.45	30	0.01
535.25	1497	0.33
536.30	3731	0.81
536.80	2842	0.62
538.15	906	0.20
540.15	55	0.01
541.15	8	0.00
542.10	856	0.19
543.05	7	0.00
544.35	116	0.03
545.15	29	0.01
546.00	1024	0.22
547.20	1241	0.27
548.05	836	0.18
548.90	4542	0.99
549.70	8401	1.83
550.35	1282	0.28
551.15	539	0.12
552.10	1867	0.41
556.05	11	0.00
557.20	1085	0.24
560.00	803	0.17
560.50	443	0.10
561.05	293	0.06
561.80	82	0.02
562.35	717	0.16
563.45	256	0.06
564.45	28	0.01
566.80	215	0.05
567.75	1149	0.25
568.55	1	0.00
569.40	220	0.05
569.85	218	0.05
570.85	11	0.00
571.85	2	0.00
572.80	174	0.04
574.10	368	0.08
575.40	4237	0.92
575.90	957	0.21
577.20	1573	0.34
578.55	1060	0.23
579.55	4	0.00
580.75	302	0.07
581.30	290	0.06
581.80	297	0.06
584.35	281	0.06
589.10	318	0.07
589.95	1300	0.28
591.05	2154	0.47
592.95	53	0.01
593.80	656	0.14
596.25	351	0.08
596.90	40	0.01
598.25	2181	0.47
599.90	614	0.13
601.50	110	0.02
602.20	330	0.07
602.60	137	0.03
603.50	247	0.05
604.80	1143	0.25
605.95	900	0.20
606.80	201	0.04
607.45	1154	0.25
608.25	51	0.01
609.05	1988	0.43
609.55	614	0.13
609.95	508	0.11
611.20	617	0.13
612.15	10	0.00
613.15	7	0.00
614.10	400	0.09
616.35	1509	0.33
617.85	208	0.05
621.25	355	0.08
622.10	590	0.13
622.90	134	0.03
623.35	286	0.06
623.95	459	0.10
624.40	755	0.16
625.55	261	0.06
625.90	698	0.15
626.95	24	0.01
628.35	905	0.20
629.15	611	0.13
630.15	4	0.00
631.00	350	0.08
632.00	421	0.09
632.95	4	0.00
635.35	788	0.17
635.85	1801	0.39
636.85	9	0.00
637.85	4	0.00
638.85	30	0.01
641.90	387	0.08
643.20	465	0.10
644.15	63	0.01
644.95	147	0.03
646.95	34	0.01
647.95	5	0.00
648.95	4	0.00
649.95	2	0.00
651.20	84	0.02
652.15	6	0.00
654.90	519	0.11
656.00	185	0.04
656.95	20	0.00
658.55	891	0.19
660.00	123	0.03
661.30	211	0.05
662.45	1570	0.34
663.20	4154	0.90
664.45	2933	0.64
665.15	353	0.08
665.85	1380	0.30
667.40	333	0.07
667.90	75	0.02
669.85	3	0.00
671.85	6	0.00
673.45	432	0.09
674.50	505	0.11
675.20	954	0.21
676.15	3204	0.70
676.60	1044	0.23
677.55	4	0.00
678.55	850	0.18
679.45	1142	0.25
680.60	1065	0.23
682.40	163	0.04
684.15	1169	0.25
685.25	1254	0.27
687.15	236	0.05
688.15	1924	0.42
689.20	5842	1.27
690.30	41495	9.02
691.25	12819	2.79
692.20	5000	1.09
693.40	2568	0.56
694.05	1126	0.24
694.95	3897	0.85
695.75	374	0.08
698.05	1439	0.31
698.70	308	0.07
699.35	400	0.09
701.15	121	0.03
702.40	2719	0.59
703.15	402	0.09
704.10	272	0.06
704.90	218	0.05
705.30	326	0.07
706.10	233	0.05
706.45	217	0.05
707.65	1729	0.38
708.20	3901	0.85
709.15	3685	0.80
710.05	983	0.21
711.45	164	0.04
712.05	228	0.05
712.50	181	0.04
713.55	23	0.00
715.70	3136	0.68
716.45	10216	2.22
