[MS Spectrum]
# of Peaks	760
Raw Spectrum	[8.635],(scan:[3455])
Background	No Background Spectrum
Base Peak	m/z 502.15 (Inten : 138,599)
m/z	Absolute Intensity	Relative Intensity
383.90	1280	0.92
385.05	465	0.34
385.80	555	0.40
387.05	1694	1.22
388.15	2335	1.68
389.55	845	0.61
390.90	2029	1.46
393.25	1312	0.95
393.75	322	0.23
394.25	1314	0.95
394.90	1123	0.81
395.95	6784	4.89
396.45	1620	1.17
397.30	2517	1.82
398.10	1113	0.80
399.25	3478	2.51
400.15	1488	1.07
400.75	273	0.20
401.40	75	0.05
402.35	310	0.22
403.15	934	0.67
403.95	2248	1.62
404.85	25	0.02
406.35	264	0.19
407.35	898	0.65
407.90	2016	1.45
408.30	1077	0.78
409.75	1622	1.17
412.20	5876	4.24
413.30	1283	0.93
413.85	4434	3.20
414.80	949	0.68
415.55	1294	0.93
416.20	166	0.12
417.10	1108	0.80
417.60	954	0.69
418.10	861	0.62
419.15	7	0.01
419.95	12	0.01
420.70	297	0.21
421.40	1779	1.28
422.35	19	0.01
423.50	540	0.39
424.10	973	0.70
424.95	2541	1.83
425.65	1005	0.73
426.70	390	0.28
427.65	5	0.00
429.20	2963	2.14
430.15	13	0.01
431.05	4537	3.27
432.00	1219	0.88
432.45	2538	1.83
432.95	1529	1.10
434.55	2633	1.90
435.55	3083	2.22
436.35	1798	1.30
437.50	2971	2.14
438.40	1382	1.00
439.45	579	0.42
440.25	2693	1.94
441.20	2209	1.59
442.25	1472	1.06
443.15	4	0.00
444.15	32	0.02
445.20	594	0.43
446.30	64	0.05
447.35	135	0.10
447.85	83	0.06
448.75	226	0.16
449.45	628	0.45
450.25	2914	2.10
450.95	902	0.65
451.60	3960	2.86
452.40	4217	3.04
453.40	885	0.64
454.15	1028	0.74
455.00	451	0.33
455.95	10	0.01
456.95	1351	0.97
458.35	1495	1.08
459.20	1160	0.84
460.30	576	0.42
461.25	34	0.02
462.25	8	0.01
463.40	1610	1.16
464.40	1311	0.95
464.75	399	0.29
465.30	538	0.39
466.05	533	0.38
467.55	1423	1.03
468.55	8	0.01
469.55	23	0.02
470.60	231	0.17
471.05	170	0.12
472.05	84	0.06
473.10	2730	1.97
474.20	2989	2.16
474.95	951	0.69
475.40	371	0.27
476.35	994	0.72
477.35	2713	1.96
477.95	605	0.44
479.00	110	0.08
480.50	845	0.61
481.35	26	0.02
482.30	2788	2.01
482.95	352	0.25
483.75	1117	0.81
485.15	87573	63.18
486.10	27654	19.95
487.25	6795	4.90
488.30	820	0.59
489.25	498	0.36
489.60	309	0.22
490.90	598	0.43
491.70	371	0.27
492.90	1444	1.04
493.80	153	0.11
494.65	1509	1.09
495.55	1507	1.09
496.40	9388	6.77
497.35	945	0.68
498.65	1027	0.74
499.45	19	0.01
500.30	715	0.52
501.25	6850	4.94
502.15	138599	100.00
503.20	41126	29.67
504.35	9202	6.64
505.15	5620	4.05
506.05	654	0.47
507.20	15041	10.85
508.30	3071	2.22
509.35	1102	0.80
510.35	1092	0.79
511.40	689	0.50
511.95	106	0.08
512.50	1031	0.74
513.45	564	0.41
514.05	3221	2.32
515.25	3076	2.22
516.15	29611	21.36
517.35	5704	4.12
517.90	4808	3.47
518.40	4122	2.97
519.35	1959	1.41
520.40	3776	2.72
521.15	727	0.52
522.70	4657	3.36
523.45	311	0.22
524.25	994	0.72
525.20	1095	0.79
525.95	530	0.38
526.50	164	0.12
527.10	330	0.24
527.45	298	0.22
528.05	2379	1.72
529.05	2379	1.72
530.25	96004	69.27
531.15	30407	21.94
532.45	3330	2.40
533.35	1823	1.32
534.25	1355	0.98
535.15	64	0.05
536.00	47	0.03
536.55	1501	1.08
537.05	978	0.71
538.45	2704	1.95
539.50	2381	1.72
540.15	2197	1.59
540.80	2327	1.68
541.25	2216	1.60
542.10	669	0.48
543.10	661	0.48
544.60	2345	1.69
545.55	1171	0.84
546.40	5747	4.15
547.15	2441	1.76
548.45	1947	1.40
549.35	20	0.01
550.10	294	0.21
551.40	3382	2.44
552.55	262	0.19
553.25	323	0.23
554.25	2001	1.44
554.90	117	0.08
555.50	477	0.34
556.50	1240	0.89
557.00	976	0.70
558.10	7035	5.08
559.55	2132	1.54
560.25	3725	2.69
561.05	3260	2.35
561.60	586	0.42
562.25	2255	1.63
562.65	1794	1.29
563.50	10607	7.65
564.35	3266	2.36
565.45	3901	2.81
566.30	817	0.59
566.70	330	0.24
567.25	211	0.15
569.35	295	0.21
571.05	1564	1.13
571.45	1028	0.74
572.00	2782	2.01
572.45	1531	1.10
573.40	436	0.31
574.30	1717	1.24
575.20	201	0.15
575.65	61	0.04
576.40	629	0.45
577.30	1451	1.05
578.30	22	0.02
578.80	499	0.36
579.40	2401	1.73
580.00	31	0.02
580.45	84	0.06
581.65	2092	1.51
582.60	180	0.13
583.20	784	0.57
584.45	5550	4.00
585.25	7345	5.30
586.35	769	0.55
587.75	225	0.16
589.30	1448	1.04
590.25	3424	2.47
591.10	424	0.31
591.60	1760	1.27
592.20	1035	0.75
593.30	1399	1.01
594.20	683	0.49
595.00	1625	1.17
595.75	90	0.06
596.35	864	0.62
596.90	1775	1.28
597.60	1721	1.24
598.40	642	0.46
599.15	261	0.19
599.50	114	0.08
600.20	603	0.44
600.65	179	0.13
601.30	695	0.50
602.10	316	0.23
604.70	83	0.06
605.70	1544	1.11
606.35	3581	2.58
607.05	4596	3.32
608.55	2738	1.98
609.65	3782	2.73
610.30	1500	1.08
611.35	2823	2.04
612.15	678	0.49
613.10	587	0.42
